applicant_id,cohort,selected,age_at_application,age_at_survey,age_gap,application_year_plus_age_gap
100000,A_2022,0,12.0,12.0,0.0,2022.0
100001,A_2020,1,12.0,15.0,3.0,2023.0
100002,A_2020,1,13.0,16.0,3.0,2023.0
100003,A_2020,1,13.0,15.0,2.0,2022.0
100004,A_2020,0,12.0,14.0,2.0,2022.0
100005,A_2022,1,11.0,12.0,1.0,2023.0
100006,A_2022,1,10.0,11.0,1.0,2023.0
100007,A_2020,0,11.0,14.0,3.0,2023.0
100008,A_2020,0,11.0,14.0,3.0,2023.0
100009,A_2020,1,12.0,15.0,3.0,2023.0
100010,A_2020,0,15.0,17.0,2.0,2022.0
100011,A_2022,1,12.0,13.0,1.0,2023.0
100012,A_2020,0,11.0,14.0,3.0,2023.0
100013,A_2020,1,11.0,14.0,3.0,2023.0
100014,A_2020,1,14.0,16.0,2.0,2022.0
100015,A_2020,1,14.0,17.0,3.0,2023.0
100016,B_2018,1,12.0,16.0,4.0,2022.0
100017,A_2022,1,13.0,14.0,1.0,2023.0
100018,A_2020,1,12.0,14.0,2.0,2022.0
100019,A_2020,0,10.0,13.0,3.0,2023.0
100020,A_2022,1,12.0,13.0,1.0,2023.0
100022,A_2022,0,13.0,13.0,0.0,2022.0
100023,A_2020,0,13.0,15.0,2.0,2022.0
100024,A_2020,1,12.0,14.0,2.0,2022.0
100025,A_2022,0,11.0,12.0,1.0,2023.0
100026,B_2018,1,11.0,15.0,4.0,2022.0
100027,A_2020,0,12.0,14.0,2.0,2022.0
100028,A_2020,0,14.0,16.0,2.0,2022.0
100029,A_2022,0,12.0,13.0,1.0,2023.0
100030,A_2020,0,12.0,15.0,3.0,2023.0
100031,A_2020,1,12.0,15.0,3.0,2023.0
100032,B_2018,0,12.0,17.0,5.0,2023.0
100033,A_2022,1,13.0,14.0,1.0,2023.0
100034,A_2020,1,11.0,13.0,2.0,2022.0
100036,A_2020,1,11.0,15.0,4.0,2024.0
100037,A_2022,1,12.0,12.0,0.0,2022.0
100038,A_2022,1,12.0,13.0,1.0,2023.0
100039,A_2020,1,12.0,15.0,3.0,2023.0
100040,A_2020,0,15.0,17.0,2.0,2022.0
100041,A_2020,0,15.0,17.0,2.0,2022.0
100042,A_2020,1,15.0,18.0,3.0,2023.0
100043,B_2018,1,13.0,18.0,5.0,2023.0
100044,A_2022,0,15.0,13.0,-2.0,2020.0
100045,B_2018,1,10.0,15.0,5.0,2023.0
100046,A_2020,1,12.0,15.0,3.0,2023.0
100047,B_2018,1,11.0,17.0,6.0,2024.0
100048,A_2020,0,13.0,15.0,2.0,2022.0
100049,A_2020,0,10.0,13.0,3.0,2023.0
100050,A_2020,1,12.0,14.0,2.0,2022.0
100051,A_2020,1,13.0,15.0,2.0,2022.0
100052,A_2020,1,15.0,17.0,2.0,2022.0
100053,B_2018,0,14.0,19.0,5.0,2023.0
100055,A_2020,1,13.0,16.0,3.0,2023.0
100056,A_2020,1,13.0,15.0,2.0,2022.0
100057,A_2020,1,12.0,15.0,3.0,2023.0
100058,A_2020,1,12.0,15.0,3.0,2023.0
100059,A_2020,0,12.0,14.0,2.0,2022.0
100060,A_2020,1,15.0,17.0,2.0,2022.0
100061,A_2022,1,12.0,13.0,1.0,2023.0
100062,A_2020,1,12.0,15.0,3.0,2023.0
100063,B_2018,1,12.0,16.0,4.0,2022.0
100064,A_2020,0,12.0,14.0,2.0,2022.0
100065,A_2020,0,12.0,15.0,3.0,2023.0
100066,A_2020,1,13.0,16.0,3.0,2023.0
100067,A_2020,1,11.0,13.0,2.0,2022.0
100068,A_2020,1,15.0,17.0,2.0,2022.0
100069,A_2020,1,10.0,13.0,3.0,2023.0
100070,A_2022,1,12.0,12.0,0.0,2022.0
100071,A_2022,0,12.0,12.0,0.0,2022.0
100073,A_2020,0,14.0,17.0,3.0,2023.0
100074,A_2020,1,14.0,17.0,3.0,2023.0
100075,A_2020,1,12.0,15.0,3.0,2023.0
100076,A_2020,1,14.0,17.0,3.0,2023.0
100077,A_2020,0,12.0,14.0,2.0,2022.0
100078,A_2020,1,16.0,18.0,2.0,2022.0
100079,A_2020,1,12.0,14.0,2.0,2022.0
100080,B_2018,0,15.0,19.0,4.0,2022.0
100081,A_2022,1,12.0,12.0,0.0,2022.0
