variable,cohort,selected,N,missing,missing_pct
applicant_id,A_2020,0,583,0,0.0
applicant_id,A_2020,1,593,0,0.0
applicant_id,A_2022,0,131,0,0.0
applicant_id,A_2022,1,146,0,0.0
applicant_id,B_2018,0,74,0,0.0
applicant_id,B_2018,1,91,0,0.0
municipality,A_2020,0,583,0,0.0
municipality,A_2020,1,593,0,0.0
municipality,A_2022,0,131,0,0.0
municipality,A_2022,1,146,0,0.0
municipality,B_2018,0,74,0,0.0
municipality,B_2018,1,91,0,0.0
application_year,A_2020,0,583,0,0.0
application_year,A_2020,1,593,0,0.0
application_year,A_2022,0,131,0,0.0
application_year,A_2022,1,146,0,0.0
application_year,B_2018,0,74,0,0.0
application_year,B_2018,1,91,0,0.0
selected,A_2020,0,583,0,0.0
selected,A_2020,1,593,0,0.0
selected,A_2022,0,131,0,0.0
selected,A_2022,1,146,0,0.0
selected,B_2018,0,74,0,0.0
selected,B_2018,1,91,0,0.0
male,A_2020,0,583,0,0.0
male,A_2020,1,593,0,0.0
male,A_2022,0,131,0,0.0
male,A_2022,1,146,0,0.0
male,B_2018,0,74,0,0.0
male,B_2018,1,91,0,0.0
age_at_application,A_2020,0,583,33,5.660377358490567
age_at_application,A_2020,1,593,23,3.87858347386172
age_at_application,A_2022,0,131,5,3.816793893129771
age_at_application,A_2022,1,146,0,0.0
age_at_application,B_2018,0,74,2,2.7027027027027026
age_at_application,B_2018,1,91,1,1.098901098901099
has_phone,A_2020,0,583,0,0.0
has_phone,A_2020,1,593,0,0.0
has_phone,A_2022,0,131,0,0.0
has_phone,A_2022,1,146,0,0.0
has_phone,B_2018,0,74,0,0.0
has_phone,B_2018,1,91,0,0.0
ses_stratum,A_2020,0,583,98,16.80960548885077
ses_stratum,A_2020,1,593,88,14.839797639123104
ses_stratum,A_2022,0,131,22,16.793893129770993
ses_stratum,A_2022,1,146,31,21.232876712328768
ses_stratum,B_2018,0,74,18,24.324324324324326
ses_stratum,B_2018,1,91,22,24.175824175824175
neighborhood,A_2020,0,583,150,25.728987993138936
neighborhood,A_2020,1,593,129,21.75379426644182
neighborhood,A_2022,0,131,131,100.0
neighborhood,A_2022,1,146,146,100.0
neighborhood,B_2018,0,74,74,100.0
neighborhood,B_2018,1,91,91,100.0
age_at_survey,A_2020,0,583,3,0.5145797598627788
age_at_survey,A_2020,1,593,1,0.16863406408094433
age_at_survey,A_2022,0,131,1,0.7633587786259541
age_at_survey,A_2022,1,146,0,0.0
