applicant_id,mother_age,father_age,mother_age_clean,father_age_clean
100000,37.0,37.0,37.0,37.0
100001,56.0,52.0,56.0,52.0
100002,37.0,48.0,37.0,48.0
100003,60.0,64.0,60.0,64.0
100004,46.0,52.0,46.0,52.0
100005,37.0,36.0,37.0,36.0
100006,39.0,,39.0,
100007,26.0,37.0,26.0,37.0
100008,40.0,46.0,40.0,46.0
100009,40.0,42.0,40.0,42.0
100010,,,,
100011,,38.0,,38.0
100012,32.0,31.0,32.0,31.0
100013,39.0,49.0,39.0,49.0
100014,41.0,41.0,41.0,41.0
100015,40.0,42.0,40.0,42.0
100016,38.0,42.0,38.0,42.0
100017,34.0,50.0,34.0,50.0
100018,55.0,,55.0,
100019,43.0,,43.0,
100020,42.0,43.0,42.0,43.0
100021,35.0,39.0,35.0,39.0
100022,36.0,36.0,36.0,36.0
100023,38.0,35.0,38.0,35.0
100024,34.0,38.0,34.0,38.0
100025,45.0,40.0,45.0,40.0
100026,35.0,37.0,35.0,37.0
100027,42.0,,42.0,
100028,46.0,48.0,46.0,48.0
100029,32.0,32.0,32.0,32.0
100030,59.0,60.0,59.0,60.0
100031,40.0,39.0,40.0,39.0
100032,58.0,71.0,58.0,71.0
100033,49.0,62.0,49.0,62.0
100034,42.0,45.0,42.0,45.0
100035,33.0,33.0,33.0,33.0
100036,,,,
100037,35.0,46.0,35.0,46.0
100038,36.0,40.0,36.0,40.0
100039,48.0,50.0,48.0,50.0
100040,32.0,,32.0,
100041,41.0,47.0,41.0,47.0
100042,58.0,59.0,58.0,59.0
100043,,52.0,,52.0
100044,33.0,60.0,33.0,60.0
100045,38.0,,38.0,
100046,34.0,40.0,34.0,40.0
100047,36.0,,36.0,
100048,40.0,52.0,40.0,52.0
100049,41.0,50.0,41.0,50.0
100050,37.0,52.0,37.0,52.0
100051,42.0,46.0,42.0,46.0
100052,58.0,,58.0,
100053,34.0,38.0,34.0,38.0
100054,,54.0,,54.0
100055,38.0,41.0,38.0,41.0
100056,40.0,43.0,40.0,43.0
100057,49.0,55.0,49.0,55.0
100058,58.0,61.0,58.0,61.0
100059,39.0,35.0,39.0,35.0
100060,50.0,36.0,50.0,36.0
100061,26.0,30.0,26.0,30.0
100062,39.0,44.0,39.0,44.0
100063,37.0,,37.0,
100064,38.0,41.0,38.0,41.0
100065,40.0,42.0,40.0,42.0
100066,38.0,43.0,38.0,43.0
100067,31.0,40.0,31.0,40.0
100068,40.0,,40.0,
100069,28.0,42.0,28.0,42.0
100070,38.0,32.0,38.0,32.0
100071,43.0,43.0,43.0,43.0
100072,39.0,41.0,39.0,41.0
100073,39.0,59.0,39.0,59.0
100074,32.0,45.0,32.0,45.0
100075,35.0,36.0,35.0,36.0
100076,34.0,41.0,34.0,41.0
100077,35.0,41.0,35.0,41.0
100078,53.0,,53.0,
100079,36.0,38.0,36.0,38.0
100080,48.0,42.0,48.0,42.0
100081,45.0,56.0,45.0,56.0
100082,47.0,40.0,47.0,40.0
100083,47.0,46.0,47.0,46.0
100084,38.0,,38.0,
100085,40.0,57.0,40.0,57.0
100086,34.0,42.0,34.0,42.0
100087,,,,
100088,,46.0,,46.0
100089,65.0,69.0,65.0,69.0
100090,32.0,36.0,32.0,36.0
100091,33.0,,33.0,
100092,37.0,,37.0,
100093,42.0,35.0,42.0,35.0
100094,36.0,37.0,36.0,37.0
100095,32.0,36.0,32.0,36.0
100096,38.0,38.0,38.0,38.0
100097,38.0,,38.0,
100098,40.0,53.0,40.0,53.0
100099,46.0,51.0,46.0,51.0
100100,35.0,45.0,35.0,45.0
100101,36.0,38.0,36.0,38.0
100102,43.0,43.0,43.0,43.0
100103,39.0,40.0,39.0,40.0
100104,34.0,37.0,34.0,37.0
100105,46.0,48.0,46.0,48.0
100106,43.0,49.0,43.0,49.0
100107,34.0,34.0,34.0,34.0
100108,42.0,44.0,42.0,44.0
100109,48.0,55.0,48.0,55.0
100110,36.0,45.0,36.0,45.0
100111,37.0,37.0,37.0,37.0
100112,36.0,38.0,36.0,38.0
100113,49.0,49.0,49.0,49.0
100114,33.0,38.0,33.0,38.0
100115,54.0,48.0,54.0,48.0
100116,35.0,40.0,35.0,40.0
100117,30.0,39.0,30.0,39.0
100118,34.0,35.0,34.0,35.0
100119,40.0,45.0,40.0,45.0
100120,54.0,45.0,54.0,45.0
100121,50.0,49.0,50.0,49.0
100122,36.0,42.0,36.0,42.0
100123,50.0,65.0,50.0,65.0
100124,50.0,70.0,50.0,70.0
100125,39.0,39.0,39.0,39.0
100126,54.0,58.0,54.0,58.0
100127,46.0,46.0,46.0,46.0
100128,38.0,37.0,38.0,37.0
100129,46.0,48.0,46.0,48.0
100130,44.0,48.0,44.0,48.0
100131,35.0,,35.0,
100132,35.0,58.0,35.0,58.0
100133,35.0,,35.0,
100134,50.0,53.0,50.0,53.0
100135,43.0,45.0,43.0,45.0
100136,52.0,,52.0,
100137,45.0,,45.0,
100138,38.0,44.0,38.0,44.0
100139,33.0,42.0,33.0,42.0
100140,60.0,,60.0,
100141,,,,
100142,39.0,44.0,39.0,44.0
100143,34.0,36.0,34.0,36.0
100144,57.0,57.0,57.0,57.0
100145,49.0,57.0,49.0,57.0
100146,49.0,,49.0,
100147,38.0,,38.0,
100148,48.0,68.0,48.0,68.0
100149,47.0,50.0,47.0,50.0
100150,36.0,38.0,36.0,38.0
100151,37.0,47.0,37.0,47.0
100152,42.0,43.0,42.0,43.0
100153,,56.0,,56.0
100154,36.0,42.0,36.0,42.0
100155,,46.0,,46.0
100156,43.0,56.0,43.0,56.0
100157,34.0,42.0,34.0,42.0
100158,40.0,38.0,40.0,38.0
100159,36.0,,36.0,
100160,42.0,55.0,42.0,55.0
100161,46.0,43.0,46.0,43.0
100162,55.0,,55.0,
100163,36.0,33.0,36.0,33.0
100164,50.0,42.0,50.0,42.0
100165,52.0,54.0,52.0,54.0
100166,39.0,43.0,39.0,43.0
100167,49.0,56.0,49.0,56.0
100168,36.0,36.0,36.0,36.0
100169,31.0,37.0,31.0,37.0
100170,45.0,47.0,45.0,47.0
100171,33.0,40.0,33.0,40.0
100172,43.0,42.0,43.0,42.0
100173,40.0,,40.0,
100174,49.0,41.0,49.0,41.0
100175,37.0,,37.0,
100176,43.0,56.0,43.0,56.0
100177,53.0,,53.0,
100178,31.0,57.0,31.0,57.0
100179,56.0,60.0,56.0,60.0
100180,37.0,35.0,37.0,35.0
100181,,,,
100182,33.0,,33.0,
100183,53.0,51.0,53.0,51.0
100184,32.0,39.0,32.0,39.0
100185,35.0,48.0,35.0,48.0
100186,39.0,41.0,39.0,41.0
100187,45.0,52.0,45.0,52.0
100188,38.0,47.0,38.0,47.0
100189,43.0,53.0,43.0,53.0
100190,53.0,,53.0,
100191,40.0,,40.0,
100192,35.0,40.0,35.0,40.0
100193,50.0,43.0,50.0,43.0
100194,50.0,49.0,50.0,49.0
100195,52.0,54.0,52.0,54.0
100196,34.0,,34.0,
100197,40.0,45.0,40.0,45.0
100198,40.0,49.0,40.0,49.0
100199,38.0,49.0,38.0,49.0
100200,42.0,,42.0,
100201,41.0,41.0,41.0,41.0
100202,29.0,50.0,29.0,50.0
100203,49.0,52.0,49.0,52.0
100204,35.0,39.0,35.0,39.0
100205,46.0,36.0,46.0,36.0
100206,54.0,67.0,54.0,67.0
100207,36.0,40.0,36.0,40.0
100208,30.0,33.0,30.0,33.0
100209,50.0,58.0,50.0,58.0
100210,40.0,54.0,40.0,54.0
100211,38.0,39.0,38.0,39.0
100212,35.0,39.0,35.0,39.0
100213,37.0,38.0,37.0,38.0
100214,40.0,44.0,40.0,44.0
100215,40.0,56.0,40.0,56.0
100216,39.0,53.0,39.0,53.0
100217,60.0,,60.0,
100218,51.0,53.0,51.0,53.0
100219,39.0,37.0,39.0,37.0
100220,35.0,,35.0,
100221,52.0,57.0,52.0,57.0
100222,43.0,,43.0,
100223,37.0,,37.0,
100224,30.0,41.0,30.0,41.0
100225,28.0,39.0,28.0,39.0
100226,50.0,56.0,50.0,56.0
100227,30.0,40.0,30.0,40.0
100228,40.0,,40.0,
100229,36.0,,36.0,
100230,43.0,45.0,43.0,45.0
100231,32.0,38.0,32.0,38.0
100232,35.0,,35.0,
100233,40.0,51.0,40.0,51.0
100234,39.0,39.0,39.0,39.0
100235,40.0,42.0,40.0,42.0
100236,,,,
100237,52.0,53.0,52.0,53.0
100238,34.0,38.0,34.0,38.0
100239,38.0,,38.0,
100240,40.0,49.0,40.0,49.0
100241,37.0,42.0,37.0,42.0
100242,56.0,60.0,56.0,60.0
100243,46.0,63.0,46.0,63.0
100244,38.0,,38.0,
100245,33.0,36.0,33.0,36.0
100246,,,,
100247,48.0,58.0,48.0,58.0
100248,35.0,41.0,35.0,41.0
100249,34.0,38.0,34.0,38.0
100250,51.0,,51.0,
100251,48.0,49.0,48.0,49.0
100252,45.0,,45.0,
100253,37.0,40.0,37.0,40.0
100254,39.0,45.0,39.0,45.0
100255,40.0,,40.0,
100256,46.0,56.0,46.0,56.0
100257,44.0,55.0,44.0,55.0
100258,41.0,41.0,41.0,41.0
100259,43.0,46.0,43.0,46.0
100260,36.0,,36.0,
100261,38.0,40.0,38.0,40.0
100262,41.0,38.0,41.0,38.0
100263,36.0,37.0,36.0,37.0
100264,37.0,37.0,37.0,37.0
100265,50.0,49.0,50.0,49.0
100266,,42.0,,42.0
100267,37.0,37.0,37.0,37.0
100268,50.0,57.0,50.0,57.0
100269,39.0,41.0,39.0,41.0
100270,44.0,,44.0,
100271,37.0,,37.0,
100272,51.0,,51.0,
100273,32.0,33.0,32.0,33.0
100274,48.0,51.0,48.0,51.0
100275,34.0,44.0,34.0,44.0
100276,37.0,50.0,37.0,50.0
100277,36.0,63.0,36.0,63.0
100278,32.0,34.0,32.0,34.0
100279,37.0,42.0,37.0,42.0
100280,36.0,40.0,36.0,40.0
100281,,32.0,,32.0
100282,40.0,,40.0,
100283,46.0,50.0,46.0,50.0
100284,,,,
100285,36.0,36.0,36.0,36.0
100286,32.0,43.0,32.0,43.0
100287,36.0,35.0,36.0,35.0
100288,34.0,36.0,34.0,36.0
100289,33.0,37.0,33.0,37.0
100290,30.0,43.0,30.0,43.0
100291,,,,
100292,45.0,55.0,45.0,55.0
100293,37.0,38.0,37.0,38.0
100294,42.0,52.0,42.0,52.0
100295,37.0,40.0,37.0,40.0
100296,32.0,34.0,32.0,34.0
100297,27.0,33.0,27.0,33.0
100298,38.0,39.0,38.0,39.0
100299,39.0,38.0,39.0,38.0
100300,38.0,35.0,38.0,35.0
100301,43.0,40.0,43.0,40.0
100302,39.0,,39.0,
100303,42.0,39.0,42.0,39.0
100304,32.0,39.0,32.0,39.0
100305,42.0,40.0,42.0,40.0
100306,34.0,,34.0,
100307,40.0,45.0,40.0,45.0
100308,,,,
100309,43.0,48.0,43.0,48.0
100310,37.0,38.0,37.0,38.0
100311,35.0,,35.0,
100312,42.0,41.0,42.0,41.0
100313,42.0,45.0,42.0,45.0
100314,39.0,41.0,39.0,41.0
100315,42.0,,42.0,
100316,39.0,43.0,39.0,43.0
100317,34.0,45.0,34.0,45.0
100318,35.0,40.0,35.0,40.0
100319,39.0,39.0,39.0,39.0
100320,46.0,68.0,46.0,68.0
100321,40.0,,40.0,
100322,45.0,50.0,45.0,50.0
100323,55.0,,55.0,
