applicant_id,cohort,selected,issue,certainty,observed_values,recommended_treatment
100021,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100035,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 15.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100054,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 18.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100072,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 15.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100084,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 16.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100123,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 15.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100173,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 15.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100205,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100208,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100231,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 15.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100258,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 17.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100267,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 17.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100329,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 18.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100335,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100340,A_2022,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 15.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100416,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 13.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100462,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 15.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100496,B_2018,1,age_pair_missing,missing,"{""age_at_application"": 13.0, ""age_at_survey"": null}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100513,A_2020,0,age_pair_missing,missing,"{""age_at_application"": 13.0, ""age_at_survey"": null}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100563,A_2022,0,age_pair_missing,missing,"{""age_at_application"": 11.0, ""age_at_survey"": null}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100568,A_2022,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 15.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100600,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100630,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 17.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100639,B_2018,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 19.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100641,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 13.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100644,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 16.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100698,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 16.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100707,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100713,A_2022,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 12.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100730,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100735,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 17.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100739,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100760,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 17.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100762,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100840,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 15.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100875,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 18.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100919,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100948,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100975,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 16.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100982,B_2018,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 18.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100989,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 15.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101018,A_2020,0,age_pair_missing,missing,"{""age_at_application"": 15.0, ""age_at_survey"": null}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101020,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101035,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101073,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101078,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101087,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 15.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101092,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 12.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
