file,variable,parsed_type,n,observed,missing,blank_strings,nonblank_nonnumeric_tokens,unique_observed,minimum,maximum,fractional_numeric_count,negative_numeric_count,sentinel_candidate_count
study_baseline.csv,applicant_id,int64,1618,1618,0,0,{},1618,100000.0,101617.0,0,0,0
study_baseline.csv,municipality,object,1618,1618,0,0,"{""A"": 1453, ""B"": 165}",2,,,0,0,0
study_baseline.csv,application_year,int64,1618,1618,0,0,{},3,2018.0,2022.0,0,0,0
study_baseline.csv,selected,int64,1618,1618,0,0,{},2,0.0,1.0,0,0,0
study_baseline.csv,male,int64,1618,1618,0,0,{},2,0.0,1.0,0,0,0
study_baseline.csv,age_at_application,float64,1618,1554,64,64,{},10,9.0,18.0,0,0,0
study_baseline.csv,has_phone,int64,1618,1618,0,0,{},2,0.0,1.0,0,0,0
study_baseline.csv,ses_stratum,float64,1618,1339,279,279,{},5,1.0,5.0,0,0,0
study_baseline.csv,neighborhood,float64,1618,897,721,721,{},16,1.0,19.0,0,0,0
study_followup.csv,applicant_id,int64,1618,1618,0,0,{},1618,100000.0,101617.0,0,0,0
study_followup.csv,age_at_survey,float64,1618,1612,6,6,{},11,10.0,20.0,0,0,0
study_followup.csv,survey_month,int64,1618,1618,0,0,{},12,1.0,12.0,0,0,0
study_followup.csv,survey_form,int64,1618,1618,0,0,{},2,0.0,1.0,0,0,0
study_followup.csv,household_visit,int64,1618,1618,0,0,{},2,0.0,1.0,0,0,0
study_followup.csv,mother_educ,float64,1618,1439,179,179,{},12,0.0,11.0,0,0,0
study_followup.csv,father_educ,float64,1618,1152,466,466,{},12,0.0,11.0,0,0,0
study_followup.csv,mother_age,float64,1618,1518,100,100,{},45,8.0,97.0,0,0,0
study_followup.csv,father_age,float64,1618,1272,346,346,{},50,1.0,91.0,0,0,0
study_followup.csv,father_income_high,float64,1618,1166,452,452,{},2,0.0,1.0,0,0,0
study_followup.csv,receiving_aid_now,float64,1618,1610,8,8,{},2,0.0,1.0,0,0,0
study_followup.csv,started_g6_private,float64,1618,1600,18,18,{},2,0.0,1.0,0,0,0
study_followup.csv,started_g7_private,float64,1618,1600,18,18,{},2,0.0,1.0,0,0,0
study_followup.csv,in_private_now,float64,1618,1600,18,18,{},2,0.0,1.0,0,0,0
study_followup.csv,in_school_now,float64,1618,1607,11,11,{},2,0.0,1.0,0,0,0
study_followup.csv,highest_grade,int64,1618,1618,0,0,{},8,4.0,11.0,0,0,0
study_followup.csv,finished_g6,float64,1618,1610,8,8,{},2,0.0,1.0,0,0,0
study_followup.csv,finished_g7,float64,1618,1610,8,8,{},2,0.0,1.0,0,0,0
study_followup.csv,finished_g8,float64,1618,1610,8,8,{},2,0.0,1.0,0,0,0
study_followup.csv,repeats_g6,float64,1618,1598,20,20,{},4,0.0,3.0,0,0,0
study_followup.csv,ever_repeated,float64,1618,1610,8,8,{},2,0.0,1.0,0,0,0
study_followup.csv,total_repeats,float64,1618,1610,8,8,{},4,0.0,3.0,0,0,0
study_followup.csv,years_in_school,float64,1618,1610,8,8,{},7,0.0,6.0,0,0,0
study_followup.csv,married_or_cohab,float64,1618,1607,11,11,{},2,0.0,1.0,0,0,0
study_followup.csv,has_child,float64,1618,1606,12,12,{},2,0.0,1.0,0,0,0
study_followup.csv,working,float64,1618,1610,8,8,{},2,0.0,1.0,0,0,0
study_followup.csv,hours_worked,float64,1618,1610,8,8,{},24,0.0,40.0,0,0,0
