"applicant_id","cohort","selected","male","age_at_application","age_at_survey","age_change","age_unverifiable","age_decreased","age_unchanged","age_outside_2_to_4","age_at_survey_clean"
100044,"A_2022",0,1,15,13,-2,FALSE,TRUE,FALSE,TRUE,
100133,"A_2022",1,1,13,12,-1,FALSE,TRUE,FALSE,TRUE,
100368,"A_2020",0,1,15,10,-5,FALSE,TRUE,FALSE,TRUE,
100628,"A_2022",1,1,14,11,-3,FALSE,TRUE,FALSE,TRUE,
100849,"A_2022",0,0,12,10,-2,FALSE,TRUE,FALSE,TRUE,
100910,"A_2022",1,1,17,13,-4,FALSE,TRUE,FALSE,TRUE,
101003,"A_2022",0,1,14,13,-1,FALSE,TRUE,FALSE,TRUE,
101026,"A_2022",1,0,14,13,-1,FALSE,TRUE,FALSE,TRUE,
101503,"A_2022",1,0,15,14,-1,FALSE,TRUE,FALSE,TRUE,
101508,"A_2022",1,0,14,13,-1,FALSE,TRUE,FALSE,TRUE,
101532,"A_2022",0,0,13,12,-1,FALSE,TRUE,FALSE,TRUE,
