"applicant_id","cohort","selected","male","age_at_application","age_at_survey","age_change","age_unverifiable","age_decreased","age_unchanged","age_outside_2_to_4","age_at_survey_clean"
100000,"A_2022",0,1,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100005,"A_2022",1,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100006,"A_2022",1,0,10,11,1,FALSE,FALSE,FALSE,TRUE,11
100011,"A_2022",1,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100017,"A_2022",1,0,13,14,1,FALSE,FALSE,FALSE,TRUE,14
100020,"A_2022",1,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100021,"A_2020",0,0,,14,,TRUE,FALSE,FALSE,FALSE,14
100022,"A_2022",0,1,13,13,0,FALSE,FALSE,TRUE,TRUE,13
100025,"A_2022",0,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100029,"A_2022",0,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100032,"B_2018",0,0,12,17,5,FALSE,FALSE,FALSE,TRUE,17
100033,"A_2022",1,1,13,14,1,FALSE,FALSE,FALSE,TRUE,14
100035,"A_2020",0,0,,15,,TRUE,FALSE,FALSE,FALSE,15
100037,"A_2022",1,0,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100038,"A_2022",1,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100043,"B_2018",1,1,13,18,5,FALSE,FALSE,FALSE,TRUE,18
100044,"A_2022",0,1,15,13,-2,FALSE,TRUE,FALSE,TRUE,
100045,"B_2018",1,1,10,15,5,FALSE,FALSE,FALSE,TRUE,15
100047,"B_2018",1,0,11,17,6,FALSE,FALSE,FALSE,TRUE,17
100053,"B_2018",0,0,14,19,5,FALSE,FALSE,FALSE,TRUE,19
100054,"A_2020",1,1,,18,,TRUE,FALSE,FALSE,FALSE,18
100061,"A_2022",1,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100070,"A_2022",1,0,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100071,"A_2022",0,0,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100072,"A_2020",0,1,,15,,TRUE,FALSE,FALSE,FALSE,15
100081,"A_2022",1,0,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100084,"A_2020",1,0,,16,,TRUE,FALSE,FALSE,FALSE,16
100087,"A_2022",1,0,13,13,0,FALSE,FALSE,TRUE,TRUE,13
100090,"A_2022",0,0,10,11,1,FALSE,FALSE,FALSE,TRUE,11
100102,"B_2018",0,0,15,20,5,FALSE,FALSE,FALSE,TRUE,20
100107,"A_2022",1,0,13,13,0,FALSE,FALSE,TRUE,TRUE,13
100111,"A_2020",0,0,12,17,5,FALSE,FALSE,FALSE,TRUE,17
100114,"B_2018",0,0,12,17,5,FALSE,FALSE,FALSE,TRUE,17
100118,"B_2018",1,0,11,16,5,FALSE,FALSE,FALSE,TRUE,16
100123,"A_2020",1,1,,15,,TRUE,FALSE,FALSE,FALSE,15
100124,"A_2020",1,1,18,19,1,FALSE,FALSE,FALSE,TRUE,19
100128,"A_2022",1,1,14,15,1,FALSE,FALSE,FALSE,TRUE,15
100132,"A_2022",1,0,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100133,"A_2022",1,1,13,12,-1,FALSE,TRUE,FALSE,TRUE,
100135,"B_2018",1,1,14,19,5,FALSE,FALSE,FALSE,TRUE,19
100143,"A_2022",1,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100146,"A_2022",0,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100152,"A_2022",1,1,13,14,1,FALSE,FALSE,FALSE,TRUE,14
100154,"A_2022",1,0,14,15,1,FALSE,FALSE,FALSE,TRUE,15
100155,"A_2022",1,1,16,16,0,FALSE,FALSE,TRUE,TRUE,16
100159,"A_2022",1,0,13,13,0,FALSE,FALSE,TRUE,TRUE,13
100161,"A_2022",0,0,14,15,1,FALSE,FALSE,FALSE,TRUE,15
100168,"A_2022",0,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100173,"A_2020",0,1,,15,,TRUE,FALSE,FALSE,FALSE,15
100174,"A_2022",1,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100177,"B_2018",0,0,13,18,5,FALSE,FALSE,FALSE,TRUE,18
100182,"A_2022",1,1,16,16,0,FALSE,FALSE,TRUE,TRUE,16
100185,"A_2022",0,0,16,17,1,FALSE,FALSE,FALSE,TRUE,17
100188,"A_2022",0,0,13,14,1,FALSE,FALSE,FALSE,TRUE,14
100190,"B_2018",0,0,13,18,5,FALSE,FALSE,FALSE,TRUE,18
100194,"A_2020",1,1,14,15,1,FALSE,FALSE,FALSE,TRUE,15
100205,"A_2020",0,0,,14,,TRUE,FALSE,FALSE,FALSE,14
100208,"A_2020",0,0,,14,,TRUE,FALSE,FALSE,FALSE,14
100209,"A_2022",1,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100219,"A_2022",1,1,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100227,"A_2020",0,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100231,"A_2020",1,0,,15,,TRUE,FALSE,FALSE,FALSE,15
100232,"B_2018",1,1,11,16,5,FALSE,FALSE,FALSE,TRUE,16
100236,"A_2022",0,0,13,13,0,FALSE,FALSE,TRUE,TRUE,13
100245,"A_2022",1,1,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100246,"B_2018",0,0,12,17,5,FALSE,FALSE,FALSE,TRUE,17
100250,"A_2022",0,0,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100258,"A_2020",0,0,,17,,TRUE,FALSE,FALSE,FALSE,17
100259,"A_2020",0,0,14,14,0,FALSE,FALSE,TRUE,TRUE,14
100267,"A_2020",1,1,,17,,TRUE,FALSE,FALSE,FALSE,17
100276,"A_2022",0,0,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100277,"A_2022",0,0,16,16,0,FALSE,FALSE,TRUE,TRUE,16
100278,"A_2022",1,1,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100285,"A_2022",1,0,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100286,"A_2022",1,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100287,"B_2018",1,1,11,16,5,FALSE,FALSE,FALSE,TRUE,16
100290,"A_2022",1,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100293,"B_2018",1,0,11,16,5,FALSE,FALSE,FALSE,TRUE,16
100304,"A_2022",1,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100305,"A_2022",1,0,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100307,"A_2022",1,1,14,15,1,FALSE,FALSE,FALSE,TRUE,15
100312,"A_2022",1,0,13,14,1,FALSE,FALSE,FALSE,TRUE,14
100315,"B_2018",1,0,10,15,5,FALSE,FALSE,FALSE,TRUE,15
100322,"A_2022",0,1,13,14,1,FALSE,FALSE,FALSE,TRUE,14
100328,"A_2022",0,1,13,14,1,FALSE,FALSE,FALSE,TRUE,14
100329,"A_2020",0,1,,18,,TRUE,FALSE,FALSE,FALSE,18
100333,"A_2022",1,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100335,"A_2020",0,1,,14,,TRUE,FALSE,FALSE,FALSE,14
100340,"A_2022",0,0,,15,,TRUE,FALSE,FALSE,FALSE,15
100342,"A_2022",0,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100344,"A_2022",1,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100347,"A_2022",1,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100349,"B_2018",0,1,13,18,5,FALSE,FALSE,FALSE,TRUE,18
100356,"A_2022",0,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100360,"A_2022",0,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100368,"A_2020",0,1,15,10,-5,FALSE,TRUE,FALSE,TRUE,
100380,"A_2022",1,0,13,14,1,FALSE,FALSE,FALSE,TRUE,14
100393,"A_2022",0,1,13,14,1,FALSE,FALSE,FALSE,TRUE,14
100396,"A_2022",1,1,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100399,"A_2022",0,0,16,17,1,FALSE,FALSE,FALSE,TRUE,17
100401,"B_2018",1,0,12,17,5,FALSE,FALSE,FALSE,TRUE,17
100407,"A_2022",1,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100411,"B_2018",0,1,13,18,5,FALSE,FALSE,FALSE,TRUE,18
100416,"A_2020",1,1,,13,,TRUE,FALSE,FALSE,FALSE,13
100417,"B_2018",0,0,11,16,5,FALSE,FALSE,FALSE,TRUE,16
100419,"A_2020",0,0,14,15,1,FALSE,FALSE,FALSE,TRUE,15
100426,"A_2022",0,0,14,15,1,FALSE,FALSE,FALSE,TRUE,15
100427,"A_2022",0,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100428,"B_2018",1,0,13,18,5,FALSE,FALSE,FALSE,TRUE,18
100433,"A_2022",0,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100440,"A_2022",1,1,15,15,0,FALSE,FALSE,TRUE,TRUE,15
100445,"B_2018",0,1,12,17,5,FALSE,FALSE,FALSE,TRUE,17
100453,"A_2022",1,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100454,"A_2022",0,1,13,14,1,FALSE,FALSE,FALSE,TRUE,14
100456,"A_2022",1,0,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100462,"A_2020",1,1,,15,,TRUE,FALSE,FALSE,FALSE,15
100465,"A_2022",1,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100471,"A_2022",0,1,14,15,1,FALSE,FALSE,FALSE,TRUE,15
100473,"A_2022",1,0,14,14,0,FALSE,FALSE,TRUE,TRUE,14
100474,"A_2022",1,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100476,"A_2022",0,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100482,"A_2022",1,0,15,16,1,FALSE,FALSE,FALSE,TRUE,16
100484,"A_2022",0,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100490,"A_2020",1,0,14,15,1,FALSE,FALSE,FALSE,TRUE,15
100491,"A_2022",1,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100494,"B_2018",0,0,12,18,6,FALSE,FALSE,FALSE,TRUE,18
100495,"B_2018",0,1,13,18,5,FALSE,FALSE,FALSE,TRUE,18
100496,"B_2018",1,1,13,,,TRUE,FALSE,FALSE,FALSE,
100510,"A_2020",0,1,16,17,1,FALSE,FALSE,FALSE,TRUE,17
100513,"A_2020",0,1,13,,,TRUE,FALSE,FALSE,FALSE,
100521,"A_2022",1,1,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100522,"A_2022",0,1,13,14,1,FALSE,FALSE,FALSE,TRUE,14
100524,"A_2022",1,1,13,13,0,FALSE,FALSE,TRUE,TRUE,13
100532,"B_2018",1,1,11,16,5,FALSE,FALSE,FALSE,TRUE,16
100534,"A_2022",0,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100538,"A_2022",0,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100540,"A_2022",0,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100542,"A_2022",0,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100549,"A_2022",0,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100555,"A_2022",1,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100557,"A_2022",1,0,15,16,1,FALSE,FALSE,FALSE,TRUE,16
100561,"A_2022",1,1,11,11,0,FALSE,FALSE,TRUE,TRUE,11
100562,"A_2022",1,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100563,"A_2022",0,0,11,,,TRUE,FALSE,FALSE,FALSE,
100565,"A_2022",0,1,15,16,1,FALSE,FALSE,FALSE,TRUE,16
100567,"B_2018",1,0,13,18,5,FALSE,FALSE,FALSE,TRUE,18
100568,"A_2022",0,1,,15,,TRUE,FALSE,FALSE,FALSE,15
100569,"A_2022",1,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100574,"A_2022",1,0,13,14,1,FALSE,FALSE,FALSE,TRUE,14
100576,"A_2022",0,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100582,"A_2022",0,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100584,"A_2022",1,1,13,14,1,FALSE,FALSE,FALSE,TRUE,14
100588,"B_2018",1,1,12,17,5,FALSE,FALSE,FALSE,TRUE,17
100600,"A_2020",1,0,,14,,TRUE,FALSE,FALSE,FALSE,14
100601,"A_2022",1,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100603,"A_2022",1,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100611,"A_2022",1,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100613,"A_2022",1,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100614,"A_2022",0,1,14,15,1,FALSE,FALSE,FALSE,TRUE,15
100626,"A_2022",1,1,14,14,0,FALSE,FALSE,TRUE,TRUE,14
100628,"A_2022",1,1,14,11,-3,FALSE,TRUE,FALSE,TRUE,
100630,"A_2020",0,1,,17,,TRUE,FALSE,FALSE,FALSE,17
100639,"B_2018",1,1,,19,,TRUE,FALSE,FALSE,FALSE,19
100641,"A_2020",1,1,,13,,TRUE,FALSE,FALSE,FALSE,13
100644,"A_2020",0,0,,16,,TRUE,FALSE,FALSE,FALSE,16
100651,"A_2022",0,1,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100654,"A_2022",1,1,11,11,0,FALSE,FALSE,TRUE,TRUE,11
100655,"B_2018",1,1,13,18,5,FALSE,FALSE,FALSE,TRUE,18
100657,"A_2022",1,0,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100664,"A_2022",1,0,13,14,1,FALSE,FALSE,FALSE,TRUE,14
100669,"B_2018",1,0,11,16,5,FALSE,FALSE,FALSE,TRUE,16
100673,"A_2022",1,1,10,11,1,FALSE,FALSE,FALSE,TRUE,11
100675,"B_2018",0,0,11,16,5,FALSE,FALSE,FALSE,TRUE,16
100677,"A_2022",1,1,13,14,1,FALSE,FALSE,FALSE,TRUE,14
100682,"A_2022",1,0,14,15,1,FALSE,FALSE,FALSE,TRUE,15
100687,"A_2022",1,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100689,"A_2022",1,0,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100698,"A_2020",0,0,,16,,TRUE,FALSE,FALSE,FALSE,16
100702,"A_2022",1,1,12,13,1,FALSE,FALSE,FALSE,TRUE,13
100707,"A_2020",1,0,,14,,TRUE,FALSE,FALSE,FALSE,14
100709,"B_2018",0,1,14,19,5,FALSE,FALSE,FALSE,TRUE,19
100711,"A_2020",1,0,14,15,1,FALSE,FALSE,FALSE,TRUE,15
100713,"A_2022",0,1,,12,,TRUE,FALSE,FALSE,FALSE,12
100730,"A_2020",0,1,,14,,TRUE,FALSE,FALSE,FALSE,14
100734,"A_2022",1,0,15,16,1,FALSE,FALSE,FALSE,TRUE,16
100735,"A_2020",0,0,,17,,TRUE,FALSE,FALSE,FALSE,17
100738,"A_2022",0,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100739,"A_2020",0,1,,14,,TRUE,FALSE,FALSE,FALSE,14
100760,"A_2020",0,0,,17,,TRUE,FALSE,FALSE,FALSE,17
100761,"B_2018",1,1,12,17,5,FALSE,FALSE,FALSE,TRUE,17
100762,"A_2020",1,0,,14,,TRUE,FALSE,FALSE,FALSE,14
100765,"A_2022",0,1,11,11,0,FALSE,FALSE,TRUE,TRUE,11
100773,"B_2018",0,1,12,17,5,FALSE,FALSE,FALSE,TRUE,17
100776,"A_2022",1,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100779,"A_2022",0,0,13,13,0,FALSE,FALSE,TRUE,TRUE,13
100783,"A_2022",1,1,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100784,"A_2022",1,0,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100789,"B_2018",0,1,14,19,5,FALSE,FALSE,FALSE,TRUE,19
100796,"A_2022",0,1,13,13,0,FALSE,FALSE,TRUE,TRUE,13
100799,"B_2018",1,0,12,17,5,FALSE,FALSE,FALSE,TRUE,17
100802,"A_2022",1,0,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100813,"A_2022",1,0,11,12,1,FALSE,FALSE,FALSE,TRUE,12
100816,"A_2022",1,1,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100821,"A_2022",0,1,12,12,0,FALSE,FALSE,TRUE,TRUE,12
100823,"B_2018",1,0,11,18,7,FALSE,FALSE,FALSE,TRUE,18
