applicant_id,municipality,application_year,selected,male,age_at_application,has_phone,ses_stratum,neighborhood
100000,A,2022,0,1,12,1,3,
100001,A,2020,1,1,12,1,2,17
100002,A,2020,1,0,13,1,2,7
100003,A,2020,1,0,13,1,2,19
100004,A,2020,0,0,12,1,1,5
100005,A,2022,1,1,11,1,2,
100006,A,2022,1,0,10,1,3,
100007,A,2020,0,1,11,1,2,19
100008,A,2020,0,0,11,1,2,
100009,A,2020,1,0,12,1,2,18
100010,A,2020,0,0,15,1,2,19
100011,A,2022,1,1,12,1,2,
100012,A,2020,0,1,11,1,2,
100013,A,2020,1,1,11,1,2,15
100014,A,2020,1,1,14,1,,
100015,A,2020,1,0,14,1,1,5
100016,B,2018,1,0,12,0,2,
100017,A,2022,1,0,13,1,2,
100018,A,2020,1,1,12,1,,19
100019,A,2020,0,1,10,1,2,8
100020,A,2022,1,0,12,1,3,
100021,A,2020,0,0,,1,1,
100022,A,2022,0,1,13,1,,
100023,A,2020,0,1,13,1,,19
100024,A,2020,1,1,12,1,3,10
100025,A,2022,0,1,11,1,2,
100026,B,2018,1,0,11,0,1,
100027,A,2020,0,1,12,1,,
100028,A,2020,0,1,14,1,2,
100029,A,2022,0,1,12,1,2,
100030,A,2020,0,0,12,1,2,7
100031,A,2020,1,1,12,1,1,
100032,B,2018,0,0,12,0,2,
100033,A,2022,1,1,13,1,2,
100034,A,2020,1,1,11,1,,1
100035,A,2020,0,0,,1,1,19
100036,A,2020,1,0,11,1,2,
100037,A,2022,1,0,12,1,2,
100038,A,2022,1,0,12,1,,
100039,A,2020,1,1,12,1,5,
100040,A,2020,0,0,15,1,2,5
100041,A,2020,0,0,15,1,1,
100042,A,2020,1,1,15,1,1,6
100043,B,2018,1,1,13,0,,
100044,A,2022,0,1,15,1,3,
100045,B,2018,1,1,10,0,2,
100046,A,2020,1,0,12,1,2,18
100047,B,2018,1,0,11,0,2,
100048,A,2020,0,0,13,1,2,6
100049,A,2020,0,1,10,1,2,7
100050,A,2020,1,0,12,1,2,7
100051,A,2020,1,0,13,1,,
100052,A,2020,1,1,15,1,2,7
100053,B,2018,0,0,14,0,,
100054,A,2020,1,1,,1,2,6
100055,A,2020,1,1,13,1,,17
100056,A,2020,1,1,13,1,4,17
100057,A,2020,1,1,12,1,2,
100058,A,2020,1,1,12,1,3,
100059,A,2020,0,0,12,1,,19
100060,A,2020,1,1,15,1,1,5
100061,A,2022,1,1,12,1,1,
100062,A,2020,1,1,12,1,2,19
100063,B,2018,1,0,12,1,2,
100064,A,2020,0,1,12,1,1,5
100065,A,2020,0,1,12,1,2,19
100066,A,2020,1,0,13,1,2,12
100067,A,2020,1,0,11,1,2,7
100068,A,2020,1,1,15,1,1,
100069,A,2020,1,0,10,1,2,
100070,A,2022,1,0,12,1,,
100071,A,2022,0,0,12,1,2,
100072,A,2020,0,1,,1,2,5
100073,A,2020,0,0,14,1,1,5
100074,A,2020,1,1,14,1,2,19
100075,A,2020,1,0,12,1,2,11
100076,A,2020,1,1,14,1,,19
100077,A,2020,0,1,12,1,,19
100078,A,2020,1,1,16,1,2,12
100079,A,2020,1,1,12,1,1,19
100080,B,2018,0,1,15,1,1,
100081,A,2022,1,0,12,1,2,
100082,A,2020,1,0,12,1,2,
100083,A,2020,1,1,11,1,2,11
100084,A,2020,1,0,,1,,11
100085,A,2020,0,1,14,1,2,10
100086,A,2020,1,0,13,1,2,
100087,A,2022,1,0,13,1,2,
100088,B,2018,1,1,14,1,3,
100089,B,2018,0,1,14,0,2,
100090,A,2022,0,0,10,1,4,
100091,A,2020,1,0,14,1,2,17
100092,A,2020,1,0,13,1,2,17
100093,A,2020,0,0,11,1,2,11
100094,A,2020,0,0,15,1,2,
100095,A,2020,1,1,12,1,,19
100096,A,2020,0,0,12,1,1,5
100097,A,2020,1,0,15,1,4,10
100098,A,2020,1,1,12,1,2,
100099,A,2020,1,0,14,1,,
100100,A,2020,1,1,12,1,2,19
100101,A,2020,0,0,13,1,,
100102,B,2018,0,0,15,1,2,
100103,A,2020,0,0,12,1,2,7
100104,A,2020,1,1,10,1,1,17
100105,B,2018,1,1,12,0,2,
100106,A,2020,1,1,13,1,2,5
100107,A,2022,1,0,13,1,2,
100108,A,2020,0,0,13,1,3,1
100109,A,2020,0,1,13,1,2,19
100110,A,2020,0,0,13,1,3,
100111,A,2020,0,0,12,1,1,
100112,A,2020,0,1,12,1,2,
100113,A,2020,0,1,12,1,2,
100114,B,2018,0,0,12,1,,
100115,A,2020,1,1,12,1,2,17
100116,A,2020,1,1,15,1,2,19
100117,A,2020,0,1,13,1,2,
100118,B,2018,1,0,11,1,2,
100119,A,2020,1,0,14,1,1,5
100120,A,2020,0,0,14,1,,
100121,A,2020,1,0,12,1,,9
100122,A,2020,1,0,14,1,2,19
100123,A,2020,1,1,,1,2,19
100124,A,2020,1,1,18,1,2,19
100125,A,2020,1,1,14,1,3,14
100126,B,2018,1,0,12,1,1,
100127,A,2020,1,0,12,1,,7
100128,A,2022,1,1,14,1,,
100129,A,2020,1,0,12,1,2,
100130,A,2022,0,1,11,1,2,
100131,A,2020,0,1,12,1,1,19
100132,A,2022,1,0,12,1,2,
100133,A,2022,1,1,13,1,2,
100134,A,2020,0,0,11,1,1,18
100135,B,2018,1,1,14,0,4,
100136,A,2020,1,0,12,1,1,19
100137,A,2020,1,0,11,1,1,
100138,A,2020,0,1,13,1,2,19
100139,A,2020,1,1,13,1,1,19
100140,A,2020,0,0,16,1,1,19
100141,A,2020,0,0,13,1,3,10
100142,A,2020,1,1,13,1,3,10
100143,A,2022,1,1,12,1,2,
100144,A,2020,0,0,13,1,2,7
100145,A,2020,1,0,13,1,2,5
100146,A,2022,0,1,12,1,,
100147,A,2020,0,0,13,1,,19
100148,A,2020,0,0,13,1,1,19
100149,B,2018,1,0,14,1,2,
100150,A,2020,1,1,14,1,3,19
100151,A,2020,1,1,11,1,2,12
100152,A,2022,1,1,13,1,2,
100153,A,2020,0,0,14,1,2,6
