applicant_id,age_at_survey,survey_month,survey_form,household_visit,mother_educ,father_educ,mother_age,father_age,father_income_high,receiving_aid_now,started_g6_private,started_g7_private,in_private_now,in_school_now,highest_grade,finished_g6,finished_g7,finished_g8,repeats_g6,ever_repeated,total_repeats,years_in_school,married_or_cohab,has_child,working,hours_worked
100531,14,4,0,0,5.0,11.0,37.0,36.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101554,15,1,1,0,11.0,,40.0,,,1,1,1,1,1,9,1,1,1,1,1,1,5,0,0,0,0.0
100140,19,4,0,0,0.0,,60.0,,,0,1,0,0,0,5,0,0,0,0,0,0,1,1,1,0,0.0
101497,14,3,0,0,10.0,10.0,35.0,43.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101377,13,7,1,0,8.0,5.0,35.0,45.0,1,0,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0.0
100506,13,6,1,0,5.0,5.0,39.0,43.0,0,0,1,1,1,1,7,1,1,0,0,0,0,2,0,0,0,0.0
101122,15,4,0,0,2.0,5.0,36.0,40.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101153,14,8,1,0,5.0,11.0,40.0,44.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100701,16,4,0,0,,,40.0,45.0,,0,1,1,0,0,8,1,1,1,0,0,0,3,0,1,1,16.0
100474,12,7,1,0,6.0,,47.0,,,0,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0.0
100341,13,8,1,0,7.0,5.0,44.0,42.0,0,1,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0.0
100671,15,4,0,0,5.0,5.0,50.0,51.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100361,15,7,1,1,7.0,5.0,40.0,40.0,1,0,1,0,0,1,9,1,1,1,1,1,1,6,0,0,0,0.0
100451,15,8,1,0,6.0,7.0,40.0,47.0,0,0,1,1,0,1,8,1,1,1,1,1,1,5,0,0,0,0.0
101557,11,7,1,0,5.0,8.0,38.0,38.0,0,0,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0.0
100755,15,3,0,0,6.0,5.0,43.0,48.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100922,18,4,0,0,5.0,5.0,49.0,53.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101041,14,4,0,0,5.0,,47.0,,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100964,14,3,0,0,5.0,5.0,52.0,54.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,1,30.0
100473,14,7,1,0,6.0,,45.0,,,1,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0.0
100921,14,7,1,0,5.0,,37.0,,,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101542,14,8,1,0,5.0,5.0,32.0,33.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100167,16,3,0,0,4.0,6.0,49.0,56.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
