effect,se,low,high,p,control_mean,treatment_mean,n,missing,outcome,estimator,holm_primary_p
0.017319793867614175,0.017665261343300258,-0.017303482142741036,0.051943069877969386,0.3268671566165279,0.8417269035972547,0.8590466974648688,1607,11.0,in_school_now,cohort_weighted_HC2,0.3268671566165279
0.017319793867614175,0.017697339057353892,-0.01736635330699253,0.05200594104222088,0.32774476192901114,0.8417269035972547,0.8590466974648688,1607,11.0,in_school_now,cohort_weighted_HC3,
0.017376163753350778,0.017643954546617463,-0.017205351702880234,0.05195767920958179,0.32471125748860813,,,1607,,in_school_now,cohort_FE_HC2,
0.0008077908933594377,0.016663419246577278,-0.03185191068922269,0.033467492475941565,0.9613361746453082,,,1607,,in_school_now,covariate_adjusted_FE_HC2,
0.16192912114936253,0.023762217026437073,0.11535603158472268,0.20850221071400238,9.455083846934736e-12,0.543963492557193,0.7058926137065555,1600,18.0,in_private_now,cohort_weighted_HC2,3.7820335387738945e-11
0.16192912114936253,0.02380717357733587,0.1152679183640919,0.20859032393463317,1.0339569396204535e-11,0.543963492557193,0.7058926137065555,1600,18.0,in_private_now,cohort_weighted_HC3,
0.16189405625621253,0.023744227708963377,0.11535622510592759,0.20843188740649748,9.215682989032906e-12,,,1600,,in_private_now,cohort_FE_HC2,
0.1484595641247111,0.0233431314924004,0.10270786711322484,0.19421126113619736,2.019086664854426e-10,,,1600,,in_private_now,covariate_adjusted_FE_HC2,
0.1278995728049468,0.04508437468540473,0.03953582215604663,0.21626332345384697,0.004555479408400718,7.339269114195646,7.467168687000592,1618,0.0,highest_grade,cohort_weighted_HC2,0.013666438225202155
0.1278995728049468,0.04516772578130404,0.03937245701001203,0.21642668859988157,0.004630728233272598,7.339269114195646,7.467168687000592,1618,0.0,highest_grade,cohort_weighted_HC3,
0.1281193674177929,0.04511440933481536,0.03969674993775961,0.21654198489782617,0.004513095066742786,,,1618,,highest_grade,cohort_FE_HC2,
0.10312017219206679,0.044021803016225186,0.01683902374575108,0.1894013206383825,0.019156085055166226,,,1618,,highest_grade,covariate_adjusted_FE_HC2,
-0.055132348085505184,0.02213663633882622,-0.09851935804846398,-0.01174533812254639,0.012754638396886188,0.2200870482858156,0.16495470020031042,1610,8.0,total_repeats,cohort_weighted_HC2,0.025509276793772375
-0.055132348085505184,0.022172030147244646,-0.09858872863823981,-0.011675967532770566,0.01289804878027421,0.2200870482858156,0.16495470020031042,1610,8.0,total_repeats,cohort_weighted_HC3,
-0.05517148972222527,0.022147733580416513,-0.09858024987902878,-0.011762729565421758,0.01273600765182469,,,1610,,total_repeats,cohort_FE_HC2,
-0.05393707982713193,0.022174423735800634,-0.0973981517272301,-0.010476007927033765,0.01499911111873231,,,1610,,total_repeats,covariate_adjusted_FE_HC2,
0.524050149882552,0.018773532933804047,0.48725470146972055,0.5608455982953835,1.7888823069988062e-171,0.05088875095336326,0.5749389008359154,1610,8.0,receiving_aid_now,cohort_weighted_HC2,
0.524050149882552,0.018805445380490022,0.4871921542235575,0.5609081455415467,6.715804521782295e-171,0.05088875095336326,0.5749389008359154,1610,8.0,receiving_aid_now,cohort_weighted_HC3,
0.5240177831083968,0.01884420350237462,0.48708382292639996,0.5609517432903935,3.4810379979433135e-170,,,1610,,receiving_aid_now,cohort_FE_HC2,
0.5173691028830218,0.018745407045155385,0.4806287801989749,0.5541094255670688,1.1195043331480445e-167,,,1610,,receiving_aid_now,covariate_adjusted_FE_HC2,
0.06699291326508583,0.015813607361765607,0.03599881237036863,0.09798701415980303,2.2712260524956316e-05,0.8448505906025272,0.911843503867613,1600,18.0,started_g6_private,cohort_weighted_HC2,
0.06699291326508583,0.01585495181812188,0.03591777872494996,0.0980680478052217,2.385568237135617e-05,0.8448505906025272,0.911843503867613,1600,18.0,started_g6_private,cohort_weighted_HC3,
0.06675245723171325,0.01588944947400321,0.0356097085284989,0.09789520593492759,2.656735846913256e-05,,,1600,,started_g6_private,cohort_FE_HC2,
0.0633948163763479,0.015785615376422903,0.03245557876475818,0.09433405398793762,5.91976741709674e-05,,,1600,,started_g6_private,covariate_adjusted_FE_HC2,
0.1718783011457543,0.021500735997731314,0.12973763294909824,0.21401896934241038,1.3055988369843955e-15,0.6548586136552201,0.8267369148009744,1600,18.0,started_g7_private,cohort_weighted_HC2,
0.1718783011457543,0.021545884696681682,0.12964914312520667,0.21410745916630194,1.4955126511793205e-15,0.6548586136552201,0.8267369148009744,1600,18.0,started_g7_private,cohort_weighted_HC3,
0.1718287196378223,0.021482132976237956,0.12972451269329682,0.2139329265823478,1.2575949597146145e-15,,,1600,,started_g7_private,cohort_FE_HC2,
0.16430704288474005,0.021335326167066102,0.12249057199887664,0.20612351377060345,1.3482255939208038e-14,,,1600,,started_g7_private,covariate_adjusted_FE_HC2,
0.02009361398697873,0.01188161536299798,-0.0031939242026544704,0.04338115217661193,0.0908078336450289,0.9296260567479815,0.9497196707349602,1610,8.0,finished_g6,cohort_weighted_HC2,
0.02009361398697873,0.011906997524636581,-0.003243672325315902,0.043430900299273364,0.09149828446752523,0.9296260567479815,0.9497196707349602,1610,8.0,finished_g6,cohort_weighted_HC3,
0.020151754441021505,0.011873698277555288,-0.0031202665462814923,0.0434237754283245,0.08966341190965568,,,1610,,finished_g6,cohort_FE_HC2,
0.016130846725193822,0.011709830188240134,-0.006819998708836091,0.03908169215922373,0.16834305488490237,,,1610,,finished_g6,covariate_adjusted_FE_HC2,
0.020342414731377767,0.016652128790011298,-0.012295157962966027,0.05297998742572156,0.22185497070477472,0.7250437422063305,0.7453861569377083,1610,8.0,finished_g7,cohort_weighted_HC2,
0.020342414731377767,0.01667969769047161,-0.01234919201496161,0.053034021477717144,0.22261983378911743,0.7250437422063305,0.7453861569377083,1610,8.0,finished_g7,cohort_weighted_HC3,
0.020446144577397768,0.01669075684613599,-0.012267137715743212,0.05315942687053875,0.22057595549432146,,,1610,,finished_g7,cohort_FE_HC2,
0.011005653417846949,0.016351984851258296,-0.02104364796636298,0.04305495480205688,0.5009174265947365,,,1610,,finished_g7,covariate_adjusted_FE_HC2,
0.07803350592134828,0.020740775009680086,0.037382333890928036,0.11868467795176851,0.000168342082547461,0.5411893795273863,0.6192228854487346,1610,8.0,finished_g8,cohort_weighted_HC2,
0.07803350592134828,0.020769005640588502,0.0373270028710867,0.11874000897160986,0.00017181862624701365,0.5411893795273863,0.6192228854487346,1610,8.0,finished_g8,cohort_weighted_HC3,
0.07824858949057655,0.02080531102349194,0.037470929197379294,0.1190262497837738,0.00016924145560028202,,,1610,,finished_g8,cohort_FE_HC2,
0.06652896563356689,0.020390757958214795,0.026563814417993506,0.10649411684914027,0.0011035551653220974,,,1610,,finished_g8,covariate_adjusted_FE_HC2,
-0.04966594869260772,0.019552406720468908,-0.08798796167580464,-0.011343935709410807,0.011080651085945888,0.17004308314539962,0.1203771344527919,1598,20.0,repeats_g6,cohort_weighted_HC2,
-0.04966594869260772,0.0195829292254749,-0.08804778468633433,-0.011284112698881119,0.011206723034980255,0.17004308314539962,0.1203771344527919,1598,20.0,repeats_g6,cohort_weighted_HC3,
-0.04968572739445177,0.019559538146866385,-0.08802171771654614,-0.011349737072357396,0.011077956201372988,,,1598,,repeats_g6,cohort_FE_HC2,
-0.046830880630715783,0.019598256782793876,-0.08524275808475855,-0.008419003176673018,0.016869341205267945,,,1598,,repeats_g6,covariate_adjusted_FE_HC2,
-0.05190864051853164,0.018806676947265424,-0.08876905000405055,-0.015048231033012734,0.00577805535365224,0.19874681502912436,0.14683817451059272,1610,8.0,ever_repeated,cohort_weighted_HC2,
-0.05190864051853164,0.01883924808060324,-0.08883288825232831,-0.01498439278473497,0.005863015785083531,0.19874681502912436,0.14683817451059272,1610,8.0,ever_repeated,cohort_weighted_HC3,
-0.05189929946012522,0.018809756292697915,-0.08876574435178777,-0.015032854568462671,0.005794853003628088,,,1610,,ever_repeated,cohort_FE_HC2,
