check,python,R,abs_difference,passed
in_school_now primary estimate,0.017319793867614508,0.017319793867614,5.065392549852277e-16,True
in_school_now primary HC2 se,0.017665261343300258,0.0176652613433002,5.898059818321144e-17,True
in_private_now primary estimate,0.16192912114936275,0.16192912114936,2.7478019859472624e-15,True
in_private_now primary HC2 se,0.02376221702643707,0.023762217026437,6.938893903907228e-17,True
highest_grade primary estimate,0.12789957280495834,0.127899572804947,1.1352030426792226e-14,True
highest_grade primary HC2 se,0.04508437468540487,0.0450843746854044,4.649058915617843e-16,True
total_repeats primary estimate,-0.05513234808550507,-0.0551323480855048,2.706168622523819e-16,True
total_repeats primary HC2 se,0.02213663633882622,0.0221366363388263,8.326672684688674e-17,True
in_school_now Girls estimate,0.048432138986904544,0.0484321389869071,2.55351295663786e-15,True
in_school_now Girls se,0.023864084801315633,0.0238640848013156,3.122502256758253e-17,True
in_school_now Boys estimate,-0.01112081369582324,-0.0111208136958137,9.539244394396462e-15,True
in_school_now Boys se,0.026414120199483148,0.0264141201994831,4.85722573273506e-17,True
in_school_now Boys minus girls estimate,-0.05955295268272778,-0.0595529526827208,6.980527267330672e-15,True
in_school_now Boys minus girls se,0.03559775680175827,0.0355977568017583,2.7755575615628914e-17,True
in_private_now Girls estimate,0.19031194481751812,0.190311944817516,2.1094237467877974e-15,True
in_private_now Girls se,0.03294603300158001,0.03294603300158,1.3877787807814457e-17,True
in_private_now Boys estimate,0.1283504094404326,0.128350409440431,1.609823385706477e-15,True
in_private_now Boys se,0.034513798109980856,0.0345137981099809,4.163336342344337e-17,True
in_private_now Boys minus girls estimate,-0.061961535377085514,-0.0619615353770843,1.214306433183765e-15,True
in_private_now Boys minus girls se,0.0477141839552739,0.0477141839552739,0.0,True
highest_grade Girls estimate,0.17691103641407913,0.176911036414097,1.787459069646502e-14,True
highest_grade Girls se,0.05736822984129745,0.0573682298412974,4.85722573273506e-17,True
highest_grade Boys estimate,0.07447335932923571,0.0744733593292732,3.748390486890685e-14,True
highest_grade Boys se,0.07051177398533763,0.0705117739853377,6.938893903907228e-17,True
highest_grade Boys minus girls estimate,-0.10243767708484341,-0.102437677084824,1.9415025143132425e-14,True
highest_grade Boys minus girls se,0.0909011774713797,0.0909011774713797,0.0,True
total_repeats Girls estimate,-0.0431219179204209,-0.0431219179204208,1.0408340855860843e-16,True
total_repeats Girls se,0.02773726429085425,0.0277372642908543,4.85722573273506e-17,True
total_repeats Boys estimate,-0.0700801190725064,-0.070080119072505,1.4016565685892601e-15,True
total_repeats Boys se,0.03482715871176779,0.0348271587117678,1.3877787807814457e-17,True
total_repeats Boys minus girls estimate,-0.026958201152085498,-0.0269582011520842,1.2975731600306517e-15,True
total_repeats Boys minus girls se,0.044522879671864905,0.0445228796718649,6.938893903907228e-18,True
in_school_now adjusted estimate,-0.00021890543921397073,-0.0002189054392141,1.2926400401458427e-16,True
in_school_now adjusted se,0.016718323617688352,0.0167183236176884,4.85722573273506e-17,True
in_private_now adjusted estimate,0.14839814674819538,0.148398146748193,2.3869795029440866e-15,True
in_private_now adjusted se,0.02336347853711427,0.0233634785371143,3.122502256758253e-17,True
highest_grade adjusted estimate,0.10271731750698371,0.102717317506978,5.703770789011742e-15,True
highest_grade adjusted se,0.04398827055607881,0.0439882705560787,1.1102230246251565e-16,True
total_repeats adjusted estimate,-0.053464005405122,-0.0534640054051217,2.983724378680108e-16,True
total_repeats adjusted se,0.022120893674456472,0.0221208936744565,2.7755575615628914e-17,True
in_school_now HC3 estimate,0.017319793867614508,0.017319793867614,5.065392549852277e-16,True
in_school_now HC3 se,0.017697339057353892,0.017697339057354,1.0755285551056204e-16,True
in_school_now age exclusion estimate,0.018804134687601448,0.0188041346875995,1.949829186997931e-15,True
in_school_now age exclusion se,0.017673871563101528,0.0176738715631015,2.7755575615628914e-17,True
in_school_now grade exclusion estimate,0.017005713577952775,0.017005713577952,7.73686670285656e-16,True
in_school_now grade exclusion se,0.0176117559800295,0.0176117559800296,1.0061396160665481e-16,True
in_private_now HC3 estimate,0.16192912114936275,0.16192912114936,2.7478019859472624e-15,True
in_private_now HC3 se,0.02380717357733587,0.0238071735773359,2.7755575615628914e-17,True
in_private_now age exclusion estimate,0.1628949637485717,0.162894963748568,3.7192471324942744e-15,True
in_private_now age exclusion se,0.023841505760148096,0.0238415057601479,1.97758476261356e-16,True
in_private_now grade exclusion estimate,0.16283977751550882,0.16283977751551,1.1657341758564144e-15,True
in_private_now grade exclusion se,0.023834904222219098,0.0238349042222192,1.0061396160665481e-16,True
highest_grade HC3 estimate,0.12789957280495834,0.127899572804947,1.1352030426792226e-14,True
highest_grade HC3 se,0.04516772578130405,0.0451677257813037,3.469446951953614e-16,True
highest_grade age exclusion estimate,0.12952004581782006,0.129520045817818,2.0539125955565396e-15,True
highest_grade age exclusion se,0.045164777427656524,0.0451647774276562,3.2612801348363973e-16,True
highest_grade grade exclusion estimate,0.12588746531815254,0.125887465318149,3.524958103184872e-15,True
highest_grade grade exclusion se,0.04422830552386331,0.0442283055238633,6.938893903907228e-18,True
total_repeats HC3 estimate,-0.05513234808550507,-0.0551323480855048,2.706168622523819e-16,True
total_repeats HC3 se,0.022172030147244646,0.0221720301472447,5.551115123125783e-17,True
total_repeats age exclusion estimate,-0.056464091603890015,-0.0564640916038905,4.85722573273506e-16,True
total_repeats age exclusion se,0.022160744314504065,0.0221607443145041,3.469446951953614e-17,True
