"estimate","se","ci_low","ci_high","p_value","n","df","cohort","outcome","control_mean","treatment_mean","n_control","n_treatment","inference_status","age_group","events_control","events_treatment"
-0.0296720458094728,0.0457669669826204,-0.119886238272895,0.0605421466539492,0.517470571885365,215,213,"A_2020","years_in_school",3.94117647058824,3.91150442477876,102,113,"HC2/t","10-11",,
0.142552549532336,0.060708342946036,0.0233369887838679,0.261768110280805,0.0191754687928601,631,629,"A_2020","years_in_school",3.69180327868852,3.83435582822086,305,326,"HC2/t","12-13",,
0.0197802197802215,0.161616508292797,-0.298419278675702,0.337979718236145,0.902682004074461,270,268,"A_2020","years_in_school",3.25714285714286,3.27692307692308,140,130,"HC2/t","14-18",,
0,,,,,215,213,"A_2020","married_or_cohab",0,0,102,113,"Not reported: no observed outcome variation","10-11",0,0
-0.00675914249684747,0.00644241289197147,-0.0194104221391069,0.00589213714541194,0.294506599481186,630,628,"A_2020","married_or_cohab",0.00983606557377049,0.00307692307692308,305,325,"HC2/t","12-13",3,1
-0.0349750968456005,0.0215400491272484,-0.0773850544992386,0.00743486080803767,0.105614677897047,269,267,"A_2020","married_or_cohab",0.0503597122302158,0.0153846153846154,139,130,"HC2/t","14-18",7,2
0,,,,,215,213,"A_2020","has_child",0,0,102,113,"Not reported: no observed outcome variation","10-11",0,0
-0.00736443883984857,0.0100477425950258,-0.0270956798321056,0.0123668021524084,0.463865695505633,630,628,"A_2020","has_child",0.019672131147541,0.0123076923076923,305,325,"HC2/t","12-13",6,4
-0.0463752075262866,0.0338420201624657,-0.113006375984865,0.0202559609322916,0.171730602382177,269,267,"A_2020","has_child",0.107913669064748,0.0615384615384615,139,130,"HC2/t","14-18",15,8
-0.00381745618601421,0.026036810507799,-0.0551402767516898,0.0475053643796614,0.88357248916429,215,213,"A_2020","working",0.0392156862745098,0.0353982300884956,102,113,"HC2/t","10-11",4,4
-0.0250528009655034,0.0275608316694756,-0.0791751809008501,0.0290695789698432,0.363698187608031,631,629,"A_2020","working",0.150819672131148,0.125766871165644,305,326,"HC2/t","12-13",46,41
-0.0791208791208795,0.0572994943122864,-0.191935284929696,0.0336935266879372,0.168481545997923,270,268,"A_2020","working",0.371428571428571,0.292307692307692,140,130,"HC2/t","14-18",52,38
-0.0694082942911679,0.643117000820462,-1.33709730043719,1.19828071185485,0.914156911972651,215,213,"A_2020","hours_worked",0.803921568627451,0.734513274336283,102,113,"HC2/t","10-11",,
-0.867213114754114,0.750898500779623,-2.3417845079348,0.607358278426568,0.248569694221844,631,629,"A_2020","hours_worked",3.3672131147541,2.5,305,326,"HC2/t","12-13",,
-3.21758241758242,1.93896138638952,-7.03511657415995,0.599951738995102,0.0981976506517644,270,268,"A_2020","hours_worked",11.2714285714286,8.05384615384616,140,130,"HC2/t","14-18",,
-0.0157903869512403,0.0222530507517049,-0.0596547969344263,0.0280740230319457,0.47873878970191,215,213,"A_2020","in_school_now",0.980392156862745,0.964601769911504,102,113,"HC2/t","10-11",100,109
0.0386944143710667,0.0250929827576345,-0.0105815946752729,0.0879704234174063,0.123565691972909,632,630,"A_2020","in_school_now",0.869281045751634,0.907975460122699,306,326,"HC2/t","12-13",266,296
0.0047185709470845,0.0594925144519977,-0.112419589075259,0.121856730969428,0.936842975740369,267,265,"A_2020","in_school_now",0.623188405797101,0.627906976744186,138,129,"HC2/t","14-18",86,81
0.209557522123894,0.0588933724883027,0.0934627456908969,0.325652298556891,0.000461069112777499,213,211,"A_2020","in_private_now",0.64,0.849557522123894,100,113,"HC2/t","10-11",64,96
0.158497080477277,0.0377677872702282,0.0843301815360008,0.232663979418554,3.10146268283936e-05,628,626,"A_2020","in_private_now",0.567656765676568,0.726153846153846,303,325,"HC2/t","12-13",172,236
0.0799732307177517,0.061072206928596,-0.0402732008885474,0.200219662324051,0.19149952870869,268,266,"A_2020","in_private_now",0.431654676258993,0.511627906976744,139,129,"HC2/t","14-18",60,66
0.141766441089712,0.0847913482491214,-0.0253712023788641,0.308904084558287,0.0960035701382691,215,213,"A_2020","highest_grade",7.72549019607843,7.86725663716814,102,113,"HC2/t","10-11",,
0.157726444132317,0.0675803038838899,0.0250173352155801,0.290435553049055,0.0199128767428578,634,632,"A_2020","highest_grade",7.52117263843648,7.67889908256881,307,327,"HC2/t","12-13",,
0.193235133660668,0.151865614770352,-0.105761225810085,0.492231493131421,0.204326681534182,271,269,"A_2020","highest_grade",7.28368794326241,7.47692307692308,141,130,"HC2/t","14-18",,
-0.0298455665452021,0.0638931187611492,-0.155789374776922,0.0960982416865176,0.640893600829154,215,213,"A_2020","total_repeats",0.215686274509804,0.185840707964602,102,113,"HC2/t","10-11",,
-0.0397465553655831,0.0372301400540627,-0.112856968331959,0.0333638576007932,0.286114697261019,631,629,"A_2020","total_repeats",0.236065573770492,0.196319018404908,305,326,"HC2/t","12-13",,
-0.13956043956044,0.0582541468983818,-0.254254418052171,-0.0248664610687086,0.0172742026280391,270,268,"A_2020","total_repeats",0.285714285714286,0.146153846153846,140,130,"HC2/t","14-18",,
