"variable","level","n","n_control","n_treatment"
"ses_category","1",170,82,88
"ses_category","2",660,329,331
"ses_category","3",152,72,80
"ses_category","4",6,1,5
"ses_category","5",2,1,1
"ses_category","Missing",186,98,88
"neighborhood_category","1",5,3,2
"neighborhood_category","10",40,20,20
"neighborhood_category","11",64,33,31
"neighborhood_category","12",29,10,19
"neighborhood_category","14",3,1,2
"neighborhood_category","15",22,11,11
"neighborhood_category","16",17,6,11
"neighborhood_category","17",98,51,47
"neighborhood_category","18",45,17,28
"neighborhood_category","19",257,123,134
"neighborhood_category","4",48,21,27
"neighborhood_category","5",117,64,53
"neighborhood_category","6",53,27,26
"neighborhood_category","7",59,29,30
"neighborhood_category","8",33,13,20
"neighborhood_category","9",7,4,3
"neighborhood_category","Missing",279,150,129
