"estimate","se","ci_low","ci_high","p_value","n","df","cohort","outcome","control_mean","treatment_mean","n_control","n_treatment","inference_status","holm_p","holm_all_nine_p"
0.093068781216453,0.054717908830444,-0.0142875024692163,0.200425064902122,0.0892308418657351,1171,1169,"A_2020","years_in_school",3.60794473229706,3.70101351351351,579,592,"HC2/t",0.267692525597205,0.35692336746294
-0.00884080117565068,0.00660937028665378,-0.0218083780982999,0.00412677574699851,0.181282178387602,1169,1167,"A_2020","married_or_cohab",0.0173010380622837,0.00846023688663283,578,591,"HC2/t",0.362564356775203,0.543846535162805
-0.0126435166482238,0.00999393871173971,-0.032251612939397,0.00696457964294939,0.206081408886682,1169,1167,"A_2020","has_child",0.0363321799307958,0.0236886632825719,578,591,"HC2/t",0.362564356775203,0.543846535162805
-0.0413340801941829,0.021917500186536,-0.08433611404379,0.00166795365542414,0.0595569970220583,1171,1169,"A_2020","working",0.189982728842832,0.148648648648649,579,592,"HC2/t",0.238227988088233,0.297784985110291
-1.46346508425523,0.663040607254476,-2.76434768465033,-0.162582483860134,0.0274936222751458,1171,1169,"A_2020","hours_worked",4.95164075993092,3.48817567567567,579,592,"HC2/t",0.137468111375729,0.164961733650875
0.0207641730923474,0.02169600715655,-0.0218033680673642,0.063331714252059,0.338740016497781,1169,1167,"A_2020","in_school_now",0.825259515570934,0.846023688663283,578,591,"HC2/t",0.338740016497781,0.543846535162805
0.159088354482796,0.0281677241212135,0.103823015541512,0.214353693424081,2.04131617559389e-08,1163,1161,"A_2020","in_private_now",0.537521815008726,0.696610169491525,573,590,"HC2/t",8.16526470237558e-08,1.8371845580345e-07
0.187661077348952,0.0552398440750401,0.0792812375256701,0.296040917172233,0.000703582866370604,1176,1174,"A_2020","highest_grade",7.47169811320755,7.65935919055649,583,593,"HC2/t",0.00211074859911181,0.00562866293096483
-0.0645451150632498,0.0275005142416892,-0.118500996629943,-0.0105892334965563,0.01908880556522,1171,1169,"A_2020","total_repeats",0.246977547495682,0.182432432432432,579,592,"HC2/t",0.03817761113044,0.13362163895654
0.0288308378464473,0.0543713968330393,-0.0782096754553217,0.135871351148216,0.596364473397831,275,273,"A_2022","years_in_school",2.04651162790698,2.07534246575342,129,146,"HC2/t",1,
0,,,,,274,272,"A_2022","married_or_cohab",0,0,128,146,"Not reported: no observed outcome variation",,
0,,,,,273,271,"A_2022","has_child",0,0,127,146,"Not reported: no observed outcome variation",,
-0.024530105129022,0.0331534727959999,-0.0897990691896184,0.0407388589315743,0.45999919593058,275,273,"A_2022","working",0.0930232558139535,0.0684931506849315,129,146,"HC2/t",1,
-0.20579802484868,0.841806075966644,-1.86305459209697,1.45145854239961,0.807048916962052,275,273,"A_2022","hours_worked",1.76744186046512,1.56164383561644,129,146,"HC2/t",1,
0.159946949602121,0.0529794803887115,0.0556466905397559,0.264247208664487,0.00277565652696271,275,273,"A_2022","in_private_now",0.653846153846154,0.813793103448276,130,145,"HC2/t",,
0.07117117117117,0.229092325959272,-0.381221061334603,0.523563403676943,0.756453979111535,164,162,"B_2018","years_in_school",5.16216216216216,5.23333333333333,74,90,"HC2/t",1,
-0.0318318318318317,0.0307340291592503,-0.0925228043776452,0.0288591407139819,0.301876604055422,164,162,"B_2018","married_or_cohab",0.0540540540540541,0.0222222222222222,74,90,"HC2/t",1,
-0.0096096096096095,0.0343165059287289,-0.0773749555848177,0.0581557363655987,0.779812663978192,164,162,"B_2018","has_child",0.0540540540540541,0.0444444444444444,74,90,"HC2/t",1,
0.00120120120120082,0.0677995014646035,-0.132683544618715,0.135085947021116,0.985886450342314,164,162,"B_2018","working",0.243243243243243,0.244444444444444,74,90,"HC2/t",1,
-0.410810810810814,1.9594700019539,-4.2802071557133,3.45858553409167,0.834201120425684,164,162,"B_2018","hours_worked",5.81081081081081,5.4,74,90,"HC2/t",1,
0.185503685503686,0.0779785207835153,0.0315037831617674,0.339503587845605,0.0185429310028129,162,160,"B_2018","in_private_now",0.405405405405405,0.590909090909091,74,88,"HC2/t",,
