"estimate","se","ci_low","ci_high","p_value","n","df","cohort","outcome","control_mean","treatment_mean","n_control","n_treatment","inference_status","specification"
0.0972072851398146,0.0546179350418894,-0.00995294552400308,0.204367515803632,0.0753737826220857,1170,1168,"A_2020","years_in_school",3.6038062283737,3.70101351351351,578,592,"HC2/t","Exclude declining-age records"
0.093747077527355,0.054770829177176,-0.013713130987912,0.201207286042622,0.0872314180359924,1170,1168,"A_2020","years_in_school",3.60726643598616,3.70101351351351,578,592,"HC2/t","Exclude work-hours contradiction"
0.070615208988442,0.052805680110704,-0.0329902172838507,0.174220635260735,0.18139840273818,1171,1159,"A_2020","years_in_school",,,579,592,"HC2/t","Baseline adjustment with assignment interactions"
-0.0088707856436965,0.00661703746958326,-0.0218534171301078,0.00411184584271483,0.180312209793639,1168,1166,"A_2020","married_or_cohab",0.0173310225303293,0.00846023688663283,577,591,"HC2/t","Exclude declining-age records"
-0.0088707856436965,0.00661703746958326,-0.0218534171301078,0.00411184584271482,0.180312209793639,1168,1166,"A_2020","married_or_cohab",0.0173310225303293,0.00846023688663283,577,591,"HC2/t","Exclude work-hours contradiction"
-0.0071373273155771,0.00675367401771494,-0.020388146895233,0.00611349226407876,0.290820463432673,1169,1157,"A_2020","married_or_cohab",,,578,591,"HC2/t","Baseline adjustment with assignment interactions"
-0.0127064840311198,0.0100042753616782,-0.0323348782946077,0.00692191023236818,0.204300485900727,1168,1166,"A_2020","has_child",0.0363951473136915,0.0236886632825719,577,591,"HC2/t","Exclude declining-age records"
-0.0127064840311198,0.0100042753616782,-0.0323348782946077,0.00692191023236816,0.204300485900726,1168,1166,"A_2020","has_child",0.0363951473136915,0.0236886632825719,577,591,"HC2/t","Exclude work-hours contradiction"
-0.0103896346411931,0.00988518604308799,-0.0297845323553427,0.00900526307295654,0.29346392972764,1169,1157,"A_2020","has_child",,,578,591,"HC2/t","Baseline adjustment with assignment interactions"
-0.0416627700364717,0.0219360721334794,-0.0847012801500258,0.00137574007708236,0.0577736923353983,1170,1168,"A_2020","working",0.190311418685121,0.148648648648649,578,592,"HC2/t","Exclude declining-age records"
-0.0416627700364717,0.0219360721334794,-0.0847012801500258,0.00137574007708236,0.0577736923353983,1170,1168,"A_2020","working",0.190311418685121,0.148648648648649,578,592,"HC2/t","Exclude work-hours contradiction"
-0.0352539851801016,0.0207263043483071,-0.0759192619562708,0.00541129159606757,0.0892244456996396,1171,1159,"A_2020","working",,,579,592,"HC2/t","Baseline adjustment with assignment interactions"
-1.472031936781,0.663675125209621,-2.77416061390429,-0.169903259657717,0.0267465772759195,1170,1168,"A_2020","hours_worked",4.96020761245675,3.48817567567567,578,592,"HC2/t","Exclude declining-age records"
-1.46511152155611,0.663728556731191,-2.76734503117025,-0.162878011941958,0.0274802874096795,1170,1168,"A_2020","hours_worked",4.95328719723183,3.48817567567567,578,592,"HC2/t","Exclude work-hours contradiction"
-1.27123072433176,0.624531617740375,-2.49656982309663,-0.0458916255668884,0.0420282350347209,1171,1159,"A_2020","hours_worked",,,579,592,"HC2/t","Baseline adjustment with assignment interactions"
