"cohort","age_change","Freq"
"A_2020","-5",1
"A_2022","-5",0
"B_2018","-5",0
"A_2020","-4",0
"A_2022","-4",1
"B_2018","-4",0
"A_2020","-3",0
"A_2022","-3",1
"B_2018","-3",0
"A_2020","-2",0
"A_2022","-2",2
"B_2018","-2",0
"A_2020","-1",0
"A_2022","-1",6
"B_2018","-1",0
"A_2020","0",1
"A_2022","0",85
"B_2018","0",0
"A_2020","1",12
"A_2022","1",157
"B_2018","1",0
"A_2020","2",652
"A_2022","2",18
"B_2018","2",1
"A_2020","3",431
"A_2022","3",0
"B_2018","3",5
"A_2020","4",18
"A_2022","4",1
"B_2018","4",73
"A_2020","5",2
"A_2022","5",0
"B_2018","5",79
"A_2020","6",0
"A_2022","6",0
"B_2018","6",2
"A_2020","7",0
"A_2022","7",0
"B_2018","7",1
"A_2020",,59
"A_2022",,6
"B_2018",,4
