"variable","observed","nonfinite","fractional","negative","sentinel_candidate"
"applicant_id",1618,0,0,0,0
"application_year",1618,0,0,0,0
"selected",1618,0,0,0,0
"male",1618,0,0,0,0
"age_at_application",1554,0,0,0,0
"has_phone",1618,0,0,0,0
"ses_stratum",1339,0,0,0,0
"neighborhood",897,0,0,0,0
"age_at_survey",1612,0,0,0,0
"survey_month",1618,0,0,0,0
"survey_form",1618,0,0,0,0
"household_visit",1618,0,0,0,0
"mother_educ",1439,0,0,0,0
"father_educ",1152,0,0,0,0
"mother_age",1518,0,0,0,0
"father_age",1272,0,0,0,0
"father_income_high",1166,0,0,0,0
"receiving_aid_now",1610,0,0,0,0
"started_g6_private",1600,0,0,0,0
"started_g7_private",1600,0,0,0,0
"in_private_now",1600,0,0,0,0
"in_school_now",1607,0,0,0,0
"highest_grade",1618,0,0,0,0
"finished_g6",1610,0,0,0,0
"finished_g7",1610,0,0,0,0
"finished_g8",1610,0,0,0,0
"repeats_g6",1598,0,0,0,0
"ever_repeated",1610,0,0,0,0
"total_repeats",1610,0,0,0,0
"years_in_school",1610,0,0,0,0
"married_or_cohab",1607,0,0,0,0
"has_child",1606,0,0,0,0
"working",1610,0,0,0,0
"hours_worked",1610,0,0,0,0
