"estimate","se","ci_low","ci_high","p_value","n","df","control_mean","selected_mean","n_control","n_selected","outcome","missing_control","missing_selected"
-0.00270064177132357,0.00301872581992109,-0.0086216813926579,0.00322039785001076,0.371118625286752,1618,1612,0.0050469479559828,0.00234630618465928,788,830,"age_at_survey",4,2
0,0,0,0,1,1618,1612,0,0,788,830,"survey_month",0,0
0,0,0,0,1,1618,1612,0,0,788,830,"survey_form",0,0
0,0,0,0,1,1618,1612,0,0,788,830,"household_visit",0,0
-0.0457065382440529,0.0155624899415526,-0.0762313772150062,-0.0151816992730996,0.0033614098054566,1618,1612,0.134039002929324,0.0883324646852714,788,830,"mother_educ",105,74
-0.0262864673368862,0.0224571341476114,-0.0703347145119487,0.0177617798381762,0.241965807934724,1618,1612,0.301382698206731,0.275096230869844,788,830,"father_educ",237,229
-0.0352981280411625,0.0118840635743629,-0.0586079665239757,-0.0119882895583492,0.00301999486423736,1618,1612,0.0799276783946317,0.04462955035347,788,830,"mother_age",62,38
-0.0331850780739341,0.0203300210172878,-0.0730611274824449,0.00669097133457667,0.102807626677031,1618,1612,0.230944002300672,0.197758924226738,788,830,"father_age",181,165
-0.0286538147672501,0.0223223156435574,-0.072437623980135,0.0151299944456348,0.19945247082844,1618,1612,0.294203365597761,0.265549550830511,788,830,"father_income_high",231,221
-0.00525419954354596,0.00351177246977846,-0.0121423189605034,0.00163391987341153,0.134805782187784,1618,1612,0.00760050572820529,0.00234630618465928,788,830,"receiving_aid_now",6,2
-0.0129077997618282,0.00527626652999391,-0.0232568625917976,-0.00255873693185884,0.014535741841086,1618,1612,0.0177054490782451,0.00479764931641689,788,830,"started_g6_private",14,4
-0.0129077997618282,0.00527626652999391,-0.0232568625917976,-0.00255873693185884,0.014535741841086,1618,1612,0.0177054490782451,0.00479764931641689,788,830,"started_g7_private",14,4
-0.00556229907855776,0.00515367259200615,-0.0156709016589176,0.00454630350180207,0.28062063988049,1618,1612,0.0137738135991439,0.00821151452058638,788,830,"in_private_now",11,7
-0.00172709115164418,0.00401359358157934,-0.00959950091593529,0.00614531861264692,0.667027367460865,1618,1612,0.00754033813974311,0.00581324698809904,788,830,"in_school_now",6,5
0,0,0,0,1,1618,1612,0,0,788,830,"highest_grade",0,0
-0.00525419954354596,0.00351177246977846,-0.0121423189605034,0.00163391987341153,0.134805782187784,1618,1612,0.00760050572820529,0.00234630618465928,788,830,"finished_g6",6,2
-0.00525419954354596,0.00351177246977846,-0.0121423189605034,0.00163391987341153,0.134805782187784,1618,1612,0.00760050572820529,0.00234630618465928,788,830,"finished_g7",6,2
-0.00525419954354596,0.00351177246977846,-0.0121423189605034,0.00163391987341153,0.134805782187784,1618,1612,0.00760050572820529,0.00234630618465928,788,830,"finished_g8",6,2
-0.015461357534051,0.00556685055324057,-0.0263803825326996,-0.00454233253540245,0.0055430681165367,1618,1612,0.0202590068504676,0.00479764931641689,788,830,"repeats_g6",16,4
-0.00525419954354596,0.00351177246977846,-0.0121423189605034,0.00163391987341153,0.134805782187784,1618,1612,0.00760050572820529,0.00234630618465928,788,830,"ever_repeated",6,2
-0.00525419954354596,0.00351177246977846,-0.0121423189605034,0.00163391987341153,0.134805782187784,1618,1612,0.00760050572820529,0.00234630618465928,788,830,"total_repeats",6,2
-0.00525419954354596,0.00351177246977846,-0.0121423189605034,0.00163391987341153,0.134805782187784,1618,1612,0.00760050572820529,0.00234630618465928,788,830,"years_in_school",6,2
-0.00658208574988987,0.00412528367981563,-0.0146735685722916,0.00150939707251191,0.110785889766518,1618,1612,0.0101540635004278,0.00357197775053809,788,830,"married_or_cohab",8,3
-0.00788894843023205,0.0043182206762629,-0.0163588649589502,0.000580968098486059,0.0678999455810304,1618,1612,0.0114609261807701,0.00357197775053809,788,830,"has_child",9,3
-0.00525419954354596,0.00351177246977846,-0.0121423189605034,0.00163391987341153,0.134805782187784,1618,1612,0.00760050572820529,0.00234630618465928,788,830,"working",6,2
-0.00525419954354596,0.00351177246977846,-0.0121423189605034,0.00163391987341153,0.134805782187784,1618,1612,0.00760050572820529,0.00234630618465928,788,830,"hours_worked",6,2
