"outcome","cohort","selected","n","missing"
"in_school_now","A_2020",0,583,5
"in_school_now","A_2022",0,131,1
"in_school_now","B_2018",0,74,0
"in_school_now","A_2020",1,593,2
"in_school_now","A_2022",1,146,0
"in_school_now","B_2018",1,91,3
"in_private_now","A_2020",0,583,10
"in_private_now","A_2022",0,131,1
"in_private_now","B_2018",0,74,0
"in_private_now","A_2020",1,593,3
"in_private_now","A_2022",1,146,1
"in_private_now","B_2018",1,91,3
"highest_grade","A_2020",0,583,0
"highest_grade","A_2022",0,131,0
"highest_grade","B_2018",0,74,0
"highest_grade","A_2020",1,593,0
"highest_grade","A_2022",1,146,0
"highest_grade","B_2018",1,91,0
"total_repeats","A_2020",0,583,4
"total_repeats","A_2022",0,131,2
"total_repeats","B_2018",0,74,0
"total_repeats","A_2020",1,593,1
"total_repeats","A_2022",1,146,0
"total_repeats","B_2018",1,91,1
