"estimate","se","ci_low","ci_high","p_value","n","df","control_mean","selected_mean","n_control","n_selected","outcome","inference_status","cohort","F_statistic","interpretation"
0.159088354482796,0.0281677241212135,0.103823015541512,0.214353693424081,2.04131617559389e-08,1163,1161,0.537521815008726,0.696610169491525,573,590,"in_private_now","HC2/t approximation","A_2020",31.8987204402866,"Lottery-offer effect on private-school indicator"
0.0596124214768293,0.0168240555234594,0.0266034370330105,0.0926214059206482,0.000410884174532018,1162,1160,0.879370629370629,0.938983050847458,572,590,"started_g6_private","HC2/t approximation","A_2020",12.5548677072551,"Lottery-offer effect on private-school indicator"
0.167441033542733,0.0245685358032,0.119237292476591,0.215644774608875,1.50900388100742e-11,1162,1160,0.678321678321678,0.845762711864407,572,590,"started_g7_private","HC2/t approximation","A_2020",46.4478100471132,"Lottery-offer effect on private-school indicator"
0.507232297063898,0.0225108087937363,0.463066194475021,0.551398399652775,1.16306032990755e-93,1171,1169,0.0552677029360967,0.5625,579,592,"receiving_aid_now","HC2/t approximation","A_2020",507.728566648865,"Any current aid; not original program receipt"
0.159946949602121,0.0529794803887115,0.0556466905397559,0.264247208664487,0.00277565652696271,275,273,0.653846153846154,0.813793103448276,130,145,"in_private_now","HC2/t approximation","A_2022",9.11457734895754,"Lottery-offer effect on private-school indicator"
-0.0216098545184246,0.0391988582029566,-0.0987803181681292,0.0555606091312801,0.581887273908699,275,273,0.891472868217054,0.86986301369863,129,146,"started_g6_private","HC2/t approximation","A_2022",0.303918300793817,"Lottery-offer effect on private-school indicator"
0.164808325369013,0.0534922410984573,0.0594985985944112,0.270118052143616,0.00227398493909872,275,273,0.643410852713178,0.808219178082192,129,146,"started_g7_private","HC2/t approximation","A_2022",9.49241476657478,"Lottery-offer effect on private-school indicator"
0.658967824147819,0.0421832209878708,0.575922070493024,0.742013577802613,9.67565143417322e-40,275,273,0.0465116279069767,0.705479452054795,129,146,"receiving_aid_now","HC2/t approximation","A_2022",244.033215707599,"Any current aid; not original program receipt"
0.185503685503686,0.0779785207835153,0.0315037831617674,0.339503587845605,0.0185429310028129,162,160,0.405405405405405,0.590909090909091,74,88,"in_private_now","HC2/t approximation","B_2018",5.65920074546665,"Lottery-offer effect on private-school indicator"
0.26834094368341,0.0730590863869344,0.1240632687105,0.412618618656321,0.000325952520265498,163,161,0.520547945205479,0.788888888888889,73,90,"started_g6_private","HC2/t approximation","B_2018",13.490418155255,"Lottery-offer effect on private-school indicator"
0.215372907153729,0.0756683384059413,0.0659424601802635,0.364803354127194,0.00499944074034357,163,161,0.506849315068493,0.722222222222222,73,90,"started_g7_private","HC2/t approximation","B_2018",8.10128192159805,"Lottery-offer effect on private-school indicator"
0.417417417417416,0.0559869344882253,0.306859134078036,0.527975700756795,5.10504723825864e-12,164,162,0.027027027027027,0.444444444444444,74,90,"receiving_aid_now","HC2/t approximation","B_2018",55.5862985904213,"Any current aid; not original program receipt"
