"estimate","se","ci_low","ci_high","p_value","n","df","control_mean","selected_mean","n_control","n_selected","outcome","inference_status","specification","cohort"
0.093068781216453,0.054717908830444,-0.0142875024692163,0.200425064902122,0.0892308418657351,1171,1169,3.60794473229706,3.70101351351351,579,592,"years_in_school","HC2/t approximation","Primary observed outcome","A_2020"
0.0972072851398146,0.0546179350418894,-0.00995294552400308,0.204367515803632,0.0753737826220857,1170,1168,3.6038062283737,3.70101351351351,578,592,"years_in_school","HC2/t approximation","Exclude declining-age records","A_2020"
0.0930413832199581,0.0549465592384032,-0.0147641845907704,0.200846951030687,0.0906651067144955,1164,1162,3.60763888888889,3.70068027210884,576,588,"years_in_school","HC2/t approximation","Exclude schooling contradictions","A_2020"
0.093747077527355,0.054770829177176,-0.013713130987912,0.201207286042622,0.0872314180359924,1170,1168,3.60726643598616,3.70101351351351,578,592,"years_in_school","HC2/t approximation","Exclude work-hours contradiction","A_2020"
0.093068781216453,0.0547648090047395,-0.0143795203939542,0.20051708282686,0.0895048497884622,1171,1169,3.60794473229706,3.70101351351351,579,592,"years_in_school","HC3/t approximation","HC3 standard errors","A_2020"
0.070615208988442,0.052805680110704,-0.0329902172838507,0.174220635260735,0.18139840273818,1171,1159,,,579,592,"years_in_school","HC2/t approximation","Baseline adjustment with assignment interactions","A_2020"
-0.00884080117565068,0.00660937028665378,-0.0218083780982999,0.00412677574699851,0.181282178387602,1169,1167,0.0173010380622837,0.00846023688663283,578,591,"married_or_cohab","HC2/t approximation","Primary observed outcome","A_2020"
-0.0088707856436965,0.00661703746958326,-0.0218534171301078,0.00411184584271483,0.180312209793639,1168,1166,0.0173310225303293,0.00846023688663283,577,591,"married_or_cohab","HC2/t approximation","Exclude declining-age records","A_2020"
-0.00887341678394204,0.00664705510497522,-0.0219150129823964,0.00416817941451232,0.182158059804333,1162,1160,0.0173913043478261,0.00851788756388416,575,587,"married_or_cohab","HC2/t approximation","Exclude schooling contradictions","A_2020"
-0.0088707856436965,0.00661703746958326,-0.0218534171301078,0.00411184584271482,0.180312209793639,1168,1166,0.0173310225303293,0.00846023688663283,577,591,"married_or_cohab","HC2/t approximation","Exclude work-hours contradiction","A_2020"
-0.00884080117565068,0.00661505412604988,-0.0218195297846767,0.00413792743337531,0.181657204738639,1169,1167,0.0173010380622837,0.00846023688663283,578,591,"married_or_cohab","HC3/t approximation","HC3 standard errors","A_2020"
-0.0071373273155771,0.00675367401771494,-0.020388146895233,0.00611349226407876,0.290820463432673,1169,1157,,,578,591,"married_or_cohab","HC2/t approximation","Baseline adjustment with assignment interactions","A_2020"
-0.0126435166482238,0.00999393871173971,-0.032251612939397,0.00696457964294939,0.206081408886682,1169,1167,0.0363321799307958,0.0236886632825719,578,591,"has_child","HC2/t approximation","Primary observed outcome","A_2020"
-0.0127064840311198,0.0100042753616782,-0.0323348782946077,0.00692191023236818,0.204300485900727,1168,1166,0.0363951473136915,0.0236886632825719,577,591,"has_child","HC2/t approximation","Exclude declining-age records","A_2020"
-0.0126716539515597,0.0100514712804834,-0.0323927526291243,0.00704944472600487,0.207678923077095,1162,1160,0.0365217391304348,0.0238500851788756,575,587,"has_child","HC2/t approximation","Exclude schooling contradictions","A_2020"
-0.0127064840311198,0.0100042753616782,-0.0323348782946077,0.00692191023236816,0.204300485900726,1168,1166,0.0363951473136915,0.0236886632825719,577,591,"has_child","HC2/t approximation","Exclude work-hours contradiction","A_2020"
-0.0126435166482238,0.0100025203957637,-0.0322684501936103,0.00698141689716276,0.206470570717314,1169,1167,0.0363321799307958,0.0236886632825719,578,591,"has_child","HC3/t approximation","HC3 standard errors","A_2020"
-0.0103896346411931,0.00988518604308799,-0.0297845323553427,0.00900526307295654,0.29346392972764,1169,1157,,,578,591,"has_child","HC2/t approximation","Baseline adjustment with assignment interactions","A_2020"
-0.0413340801941829,0.021917500186536,-0.08433611404379,0.00166795365542414,0.0595569970220583,1171,1169,0.189982728842832,0.148648648648649,579,592,"working","HC2/t approximation","Primary observed outcome","A_2020"
-0.0416627700364717,0.0219360721334794,-0.0847012801500258,0.00137574007708236,0.0577736923353983,1170,1168,0.190311418685121,0.148648648648649,578,592,"working","HC2/t approximation","Exclude declining-age records","A_2020"
-0.039576247165533,0.0219915395023077,-0.0827238152014463,0.00357132087038024,0.0721811935772708,1164,1162,0.189236111111111,0.149659863945578,576,588,"working","HC2/t approximation","Exclude schooling contradictions","A_2020"
-0.0416627700364717,0.0219360721334794,-0.0847012801500258,0.00137574007708236,0.0577736923353983,1170,1168,0.190311418685121,0.148648648648649,578,592,"working","HC2/t approximation","Exclude work-hours contradiction","A_2020"
-0.0413340801941829,0.0219362660238413,-0.0843729325296643,0.00170477214129845,0.0597749871088223,1171,1169,0.189982728842832,0.148648648648649,579,592,"working","HC3/t approximation","HC3 standard errors","A_2020"
-0.0352539851801016,0.0207263043483071,-0.0759192619562708,0.00541129159606757,0.0892244456996396,1171,1159,,,579,592,"working","HC2/t approximation","Baseline adjustment with assignment interactions","A_2020"
-1.46346508425523,0.663040607254476,-2.76434768465033,-0.162582483860134,0.0274936222751458,1171,1169,4.95164075993092,3.48817567567567,579,592,"hours_worked","HC2/t approximation","Primary observed outcome","A_2020"
-1.472031936781,0.663675125209621,-2.77416061390429,-0.169903259657717,0.0267465772759195,1170,1168,4.96020761245675,3.48817567567567,578,592,"hours_worked","HC2/t approximation","Exclude declining-age records","A_2020"
-1.39608134920632,0.663912201595017,-2.69868214644419,-0.093480551968453,0.03569700536503,1164,1162,4.90798611111111,3.51190476190476,576,588,"hours_worked","HC2/t approximation","Exclude schooling contradictions","A_2020"
-1.46511152155611,0.663728556731191,-2.76734503117025,-0.162878011941958,0.0274802874096795,1170,1168,4.95328719723183,3.48817567567567,578,592,"hours_worked","HC2/t approximation","Exclude work-hours contradiction","A_2020"
-1.46346508425523,0.66360889140969,-2.76546265553071,-0.161467512979755,0.0276262563532387,1171,1169,4.95164075993092,3.48817567567567,579,592,"hours_worked","HC3/t approximation","HC3 standard errors","A_2020"
-1.27123072433176,0.624531617740375,-2.49656982309663,-0.0458916255668884,0.0420282350347209,1171,1159,,,579,592,"hours_worked","HC2/t approximation","Baseline adjustment with assignment interactions","A_2020"
0.0207641730923474,0.02169600715655,-0.0218033680673642,0.063331714252059,0.338740016497781,1169,1167,0.825259515570934,0.846023688663283,578,591,"in_school_now","HC2/t approximation","Primary observed outcome","A_2020"
0.021067016219609,0.0217138777373298,-0.0215356249322021,0.0636696573714201,0.33214315347591,1168,1166,0.824956672443674,0.846023688663283,577,591,"in_school_now","HC2/t approximation","Exclude declining-age records","A_2020"
0.0225524992605748,0.0216591064453244,-0.0199428707492706,0.0650478692704202,0.297977284218522,1163,1161,0.826086956521739,0.848639455782313,575,588,"in_school_now","HC2/t approximation","Exclude schooling contradictions","A_2020"
0.021067016219609,0.0217138777373298,-0.0215356249322021,0.0636696573714201,0.33214315347591,1168,1166,0.824956672443674,0.846023688663283,577,591,"in_school_now","HC2/t approximation","Exclude work-hours contradiction","A_2020"
0.0207641730923474,0.0217146055766939,-0.0218398581463575,0.0633682043310522,0.339153719704477,1169,1167,0.825259515570934,0.846023688663283,578,591,"in_school_now","HC3/t approximation","HC3 standard errors","A_2020"
0.0109189568142252,0.0203486946187719,-0.0290055169414819,0.0508434305699323,0.591652286784115,1169,1157,,,578,591,"in_school_now","HC2/t approximation","Baseline adjustment with assignment interactions","A_2020"
0.159088354482796,0.0281677241212135,0.103823015541512,0.214353693424081,2.04131617559389e-08,1163,1161,0.537521815008726,0.696610169491525,573,590,"in_private_now","HC2/t approximation","Primary observed outcome","A_2020"
0.159896882778241,0.0281830963825548,0.104601333570549,0.215192431985934,1.76574128575086e-08,1162,1160,0.536713286713287,0.696610169491525,572,590,"in_private_now","HC2/t approximation","Exclude declining-age records","A_2020"
0.161624674975343,0.0282203145995169,0.106255852860257,0.216993497090428,1.3007308903688e-08,1157,1155,0.536842105263158,0.698466780238501,570,587,"in_private_now","HC2/t approximation","Exclude schooling contradictions","A_2020"
0.159896882778241,0.0281830963825548,0.104601333570549,0.215192431985934,1.76574128575086e-08,1162,1160,0.536713286713287,0.696610169491525,572,590,"in_private_now","HC2/t approximation","Exclude work-hours contradiction","A_2020"
0.159088354482796,0.0281920143951207,0.103775357796261,0.214401351169331,2.09829431297758e-08,1163,1161,0.537521815008726,0.696610169491525,573,590,"in_private_now","HC3/t approximation","HC3 standard errors","A_2020"
