"estimate","se","ci_low","ci_high","p_value","n","df","control_mean","selected_mean","n_control","n_selected","outcome","inference_status","cohort","scope","label","family","unit","holm_all_nine_p","holm_p"
0.0207641730923474,0.02169600715655,-0.0218033680673642,0.063331714252059,0.338740016497781,1169,1167,0.825259515570934,0.846023688663283,578,591,"in_school_now","HC2/t approximation","A_2020","Primary: A2020 applicants","Currently enrolled","Four schooling outcomes","proportion",0.543846535162805,0.338740016497781
0.159088354482796,0.0281677241212135,0.103823015541512,0.214353693424081,2.04131617559389e-08,1163,1161,0.537521815008726,0.696610169491525,573,590,"in_private_now","HC2/t approximation","A_2020","Primary: A2020 applicants","Currently in private school","Four schooling outcomes","proportion",1.8371845580345e-07,8.16526470237558e-08
0.187661077348952,0.0552398440750401,0.0792812375256701,0.296040917172233,0.000703582866370604,1176,1174,7.47169811320755,7.65935919055649,583,593,"highest_grade","HC2/t approximation","A_2020","Primary: A2020 applicants","Highest grade completed","Four schooling outcomes","grades/counts",0.00562866293096483,0.00211074859911181
-0.0645451150632498,0.0275005142416892,-0.118500996629943,-0.0105892334965563,0.01908880556522,1171,1169,0.246977547495682,0.182432432432432,579,592,"total_repeats","HC2/t approximation","A_2020","Primary: A2020 applicants","Total grade repetitions","Four schooling outcomes","grades/counts",0.13362163895654,0.03817761113044
0.0195995785036886,0.0249605853677575,-0.0295393182131801,0.0687384752205574,0.433002364493331,276,274,0.946153846153846,0.965753424657534,130,146,"in_school_now","HC2/t approximation","A_2022","Separate cohort check","Currently enrolled","Four schooling outcomes","proportion",1,1
0.159946949602121,0.0529794803887115,0.0556466905397559,0.264247208664487,0.00277565652696271,275,273,0.653846153846154,0.813793103448276,130,145,"in_private_now","HC2/t approximation","A_2022","Separate cohort check","Currently in private school","Four schooling outcomes","proportion",0.0249809087426644,0.0111026261078508
-0.0534351145038184,0.0595382713722432,-0.170643814909298,0.0637735859016613,0.370241561155741,277,275,6.05343511450382,6,131,146,"highest_grade","HC2/t approximation","A_2022","Separate cohort check","Highest grade completed","Four schooling outcomes","grades/counts",1,1
-0.00669002867155172,0.040800808892916,-0.0870142392199047,0.0736341818768013,0.86987763035927,275,273,0.116279069767442,0.10958904109589,129,146,"total_repeats","HC2/t approximation","A_2022","Separate cohort check","Total grade repetitions","Four schooling outcomes","grades/counts",1,1
-0.0110565110565114,0.0658792934932299,-0.141161630548041,0.119048608435019,0.866929096469349,162,160,0.783783783783784,0.772727272727273,74,88,"in_school_now","HC2/t approximation","B_2018","Separate cohort check","Currently enrolled","Four schooling outcomes","proportion",1,1
0.185503685503686,0.0779785207835153,0.0315037831617674,0.339503587845605,0.0185429310028129,162,160,0.405405405405405,0.590909090909091,74,88,"in_private_now","HC2/t approximation","B_2018","Separate cohort check","Currently in private school","Four schooling outcomes","proportion",0.166886379025316,0.0741717240112515
0.00638550638550475,0.174513498819918,-0.338213145075288,0.350984157846297,0.970856427166243,165,163,8.55405405405405,8.56043956043956,74,91,"highest_grade","HC2/t approximation","B_2018","Separate cohort check","Highest grade completed","Four schooling outcomes","grades/counts",1,1
-0.0693693693693695,0.0633375683357325,-0.194443065403967,0.0557043266652281,0.275040372688557,164,162,0.202702702702703,0.133333333333333,74,90,"total_repeats","HC2/t approximation","B_2018","Separate cohort check","Total grade repetitions","Four schooling outcomes","grades/counts",1,0.825121118065672
