"estimate","se","ci_low","ci_high","p_value","n","df","outcome","sex","cohort","subgroup_n","holm_interaction_p"
0.174135633634898,0.0709086255716584,0.0350129915828151,0.313258275686982,0.0142030699555279,1171,1167,"years_in_school","Girls","A_2020",585,
0.0129334451901622,0.0831243277222905,-0.150156390472236,0.17602328085256,0.87638187299331,1171,1167,"years_in_school","Boys","A_2020",586,
-0.161202188444736,0.109259722861375,-0.375569639397394,0.0531652625079217,0.140373807164665,1171,1167,"years_in_school","Boys minus girls","A_2020",1171,0.701869035823326
-0.0138629886351639,0.0126804293379008,-0.0387420207962139,0.0110160435258861,0.274506272441066,1169,1165,"married_or_cohab","Girls","A_2020",584,
-0.00348432055749093,0.00348432055749128,-0.0103205656797388,0.00335192456475698,0.317518163478452,1169,1165,"married_or_cohab","Boys","A_2020",585,
0.0103786680776729,0.0131504288120521,-0.0154225041562008,0.0361798403115467,0.430140170142443,1169,1165,"married_or_cohab","Boys minus girls","A_2020",1169,0.860280340284885
-0.0243364648206137,0.0185730873908921,-0.0607769059298808,0.0121039762886535,0.190349940876284,1169,1165,"has_child","Girls","A_2020",584,
-0.000257231719008957,0.00682947721365173,-0.0136566820620467,0.0131422186240287,0.969961298067695,1169,1165,"has_child","Boys","A_2020",585,
0.0240792331016047,0.0197889194814043,-0.0147466734265564,0.0629051396297658,0.223925307239364,1169,1165,"has_child","Boys minus girls","A_2020",1169,0.724318827955188
-0.0385721298828801,0.0241449361903585,-0.0859444669984404,0.00880020723268017,0.110419529963868,1171,1167,"working","Girls","A_2020",585,
-0.0458846010439961,0.0355395578119384,-0.115613172713503,0.0238439706255111,0.196929784754211,1171,1167,"working","Boys","A_2020",586,
-0.00731247116111594,0.0429655456511912,-0.0916108224549573,0.0769858801327255,0.864887196399758,1171,1167,"working","Boys minus girls","A_2020",1171,0.864887196399758
-2.36036888982395,0.670532875691164,-3.67595362294874,-1.04478415669916,0.000447943922092719,1171,1167,"hours_worked","Girls","A_2020",585,
-0.617589485458615,1.11640349754622,-2.80797186732918,1.57279289641195,0.580235446314225,1171,1167,"hours_worked","Boys","A_2020",586,
1.74277940436534,1.30229455451373,-0.812321018091677,4.29787982682235,0.181079706988797,1171,1167,"hours_worked","Boys minus girls","A_2020",1171,0.724318827955188
0.0637579169598857,0.0298509648526285,0.00519025376671921,0.122325580153052,0.0328976348443478,1169,1165,"in_school_now","Girls","A_2020",584,
-0.0219907407407429,0.0313941853548648,-0.0835862061859965,0.0396047247045108,0.483772590309245,1169,1165,"in_school_now","Boys","A_2020",585,
-0.0857486577006285,0.0433206068370293,-0.170743790121995,-0.000753525279262021,0.0480064803548218,1169,1165,"in_school_now","Boys minus girls","A_2020",1169,0.192025921419287
0.183622504191884,0.0395677411529914,0.105990085099976,0.261254923283793,3.86759159512581e-06,1163,1159,"in_private_now","Girls","A_2020",580,
0.134809634809631,0.0401253898577565,0.0560831017578935,0.213536167861368,0.000805640835828477,1163,1159,"in_private_now","Boys","A_2020",583,
-0.0488128693822536,0.0563529329421911,-0.159378051516631,0.0617523127521233,0.386560167571766,1163,1159,"in_private_now","Boys minus girls","A_2020",1163,1
0.206010833478947,0.0716092343081832,0.0655142201733636,0.346507446784531,0.00408912255063239,1176,1172,"highest_grade","Girls","A_2020",586,
0.170060678495919,0.083443126548501,0.00634608502268708,0.333775271969151,0.0417697859616839,1176,1172,"highest_grade","Boys","A_2020",590,
-0.0359501549830282,0.109957436339674,-0.251685563450077,0.179785253484021,0.743767033726918,1176,1172,"highest_grade","Boys minus girls","A_2020",1176,1
-0.0395189003436424,0.0353590556457135,-0.10889332697002,0.0298555262827352,0.263948325706424,1171,1167,"total_repeats","Girls","A_2020",585,
-0.0902078672632365,0.0420397442326398,-0.172689797235609,-0.00772593729086425,0.0320966569314177,1171,1167,"total_repeats","Boys","A_2020",586,
-0.0506889669195941,0.0549327125791403,-0.158466886001872,0.0570889521626835,0.356330072977668,1171,1167,"total_repeats","Boys minus girls","A_2020",1171,1
