"cohort","selected","from","to","prior_private","paired_observed","later_unknown","exits","exit_fraction","exits_currently_enrolled","exits_not_currently_enrolled","exits_enrollment_unknown"
"A_2020",0,"started_g6_private","started_g7_private",503,503,0,125,0.248508946322068,79,46,0
"A_2020",0,"started_g6_private","in_private_now",503,498,5,208,0.417670682730924,127,81,0
"A_2020",0,"started_g7_private","in_private_now",388,383,5,89,0.232375979112272,52,37,0
"A_2020",1,"started_g6_private","started_g7_private",554,554,0,60,0.108303249097473,28,32,0
"A_2020",1,"started_g6_private","in_private_now",554,552,2,150,0.271739130434783,68,82,0
"A_2020",1,"started_g7_private","in_private_now",499,497,2,98,0.197183098591549,48,50,0
"A_2022",0,"started_g6_private","started_g7_private",115,115,0,34,0.295652173913043,27,7,0
"A_2022",0,"started_g6_private","in_private_now",115,115,0,32,0.278260869565217,25,7,0
"A_2022",0,"started_g7_private","in_private_now",83,83,0,5,0.0602409638554217,5,0,0
"A_2022",1,"started_g6_private","started_g7_private",127,127,0,13,0.102362204724409,10,3,0
"A_2022",1,"started_g6_private","in_private_now",127,126,1,11,0.0873015873015873,8,3,0
"A_2022",1,"started_g7_private","in_private_now",118,117,1,2,0.0170940170940171,1,1,0
"B_2018",0,"started_g6_private","started_g7_private",38,38,0,4,0.105263157894737,4,0,0
"B_2018",0,"started_g6_private","in_private_now",38,38,0,13,0.342105263157895,9,4,0
"B_2018",0,"started_g7_private","in_private_now",37,37,0,11,0.297297297297297,7,4,0
"B_2018",1,"started_g6_private","started_g7_private",71,71,0,7,0.0985915492957746,4,3,0
"B_2018",1,"started_g6_private","in_private_now",71,70,1,20,0.285714285714286,7,13,0
"B_2018",1,"started_g7_private","in_private_now",65,64,1,14,0.21875,3,11,0
