"estimate","se","ci_low","ci_high","p_value","n","df","outcome","cohort"
-0.0857486577006191,0.0433206068370291,-0.170719966471183,-0.000777348930055127,0.0479430827107128,1607,1595,"in_school_now","A_2020"
-0.00679616783618886,0.0501130870020428,-0.105090603210002,0.091498267537624,0.892141473035307,1607,1595,"in_school_now","A_2022"
0.0385835303388492,0.13943957238233,-0.234920555241198,0.312087615918897,0.78204301595224,1607,1595,"in_school_now","B_2018"
-0.0488128693822517,0.056352932942191,-0.159346835639121,0.0617210968746181,0.38651174334571,1600,1588,"in_private_now","A_2020"
-0.0113672796605762,0.106089771364611,-0.219458014179123,0.196723454857971,0.914685305452336,1600,1588,"in_private_now","A_2022"
-0.240612687155241,0.160879056727868,-0.556170357348509,0.0749449830380268,0.134953426720116,1600,1588,"in_private_now","B_2018"
-0.0359501549830119,0.109957436339674,-0.251625311895927,0.179725001929903,0.743751258347091,1618,1606,"highest_grade","A_2020"
-0.0918374388453538,0.119917047387904,-0.327047797260995,0.143372919570288,0.443883219081883,1618,1606,"highest_grade","A_2022"
-0.594107931533703,0.373971146642942,-1.32763072378907,0.139414860721665,0.112337070210863,1618,1606,"highest_grade","B_2018"
-0.0506889669195928,0.0549327125791409,-0.158436714894126,0.05705878105494,0.356278637553351,1610,1598,"total_repeats","A_2020"
0.0816884657349456,0.0817653835367946,-0.0786902143761276,0.242067145846019,0.317917227071354,1610,1598,"total_repeats","A_2022"
-0.0402172689406731,0.135955768745574,-0.306887659291003,0.226453121409657,0.767412535239723,1610,1598,"total_repeats","B_2018"
