"file","variable","n","missing","unique","min","max"
"study_baseline.csv","applicant_id",1618,0,1618,"100000","101617"
"study_baseline.csv","municipality",1618,0,2,"A","B"
"study_baseline.csv","application_year",1618,0,3,"2018","2022"
"study_baseline.csv","selected",1618,0,2,"0","1"
"study_baseline.csv","male",1618,0,2,"0","1"
"study_baseline.csv","age_at_application",1618,64,10,"9","18"
"study_baseline.csv","has_phone",1618,0,2,"0","1"
"study_baseline.csv","ses_stratum",1618,279,5,"1","5"
"study_baseline.csv","neighborhood",1618,721,16,"1","19"
"study_followup.csv","applicant_id",1618,0,1618,"100000","101617"
"study_followup.csv","age_at_survey",1618,6,11,"10","20"
"study_followup.csv","survey_month",1618,0,12,"1","12"
"study_followup.csv","survey_form",1618,0,2,"0","1"
"study_followup.csv","household_visit",1618,0,2,"0","1"
"study_followup.csv","mother_educ",1618,179,12,"0","11"
"study_followup.csv","father_educ",1618,466,12,"0","11"
"study_followup.csv","mother_age",1618,100,45,"8","97"
"study_followup.csv","father_age",1618,346,50,"1","91"
"study_followup.csv","father_income_high",1618,452,2,"0","1"
"study_followup.csv","receiving_aid_now",1618,8,2,"0","1"
"study_followup.csv","started_g6_private",1618,18,2,"0","1"
"study_followup.csv","started_g7_private",1618,18,2,"0","1"
"study_followup.csv","in_private_now",1618,18,2,"0","1"
"study_followup.csv","in_school_now",1618,11,2,"0","1"
"study_followup.csv","highest_grade",1618,0,8,"4","11"
"study_followup.csv","finished_g6",1618,8,2,"0","1"
"study_followup.csv","finished_g7",1618,8,2,"0","1"
"study_followup.csv","finished_g8",1618,8,2,"0","1"
"study_followup.csv","repeats_g6",1618,20,4,"0","3"
"study_followup.csv","ever_repeated",1618,8,2,"0","1"
"study_followup.csv","total_repeats",1618,8,4,"0","3"
"study_followup.csv","years_in_school",1618,8,7,"0","6"
"study_followup.csv","married_or_cohab",1618,11,2,"0","1"
"study_followup.csv","has_child",1618,12,2,"0","1"
"study_followup.csv","working",1618,8,2,"0","1"
"study_followup.csv","hours_worked",1618,8,24,"0","40"
