"cohort","outcome","n","n0","n1","mean_control","mean_offer","effect","se_HC2","lower","upper","p","p_Holm_five"
"A_2020","years_in_school",1171,579,592,3.60794473229706,3.70101351351351,0.0930687812164499,0.0547179088304439,-0.014287502469219,0.200425064902119,0.0892308418657447,0.267692525597234
"A_2020","married_or_cohab",1169,578,591,0.0173010380622837,0.00846023688663283,-0.00884080117565091,0.00660937028665375,-0.0218083780983001,0.00412677574699823,0.181282178387588,0.362564356775177
"A_2020","has_child",1169,578,591,0.0363321799307958,0.0236886632825719,-0.0126435166482239,0.0099939387117397,-0.0322516129393971,0.00696457964294924,0.206081408886677,0.362564356775177
"A_2020","working",1171,579,592,0.189982728842832,0.148648648648649,-0.0413340801941838,0.0219175001865361,-0.084336114043791,0.00166795365542344,0.0595569970220539,0.238227988088216
"A_2020","hours_worked",1171,579,592,4.95164075993092,3.48817567567567,-1.46346508425524,0.663040607254475,-2.76434768465034,-0.162582483860145,0.0274936222751446,0.137468111375723
"A_2020","in_school_now",1169,578,591,0.825259515570934,0.846023688663283,0.0207641730923483,0.0216960071565501,-0.0218033680673634,0.0633317142520601,0.33874001649776,
"A_2020","in_private_now",1163,573,590,0.537521815008726,0.696610169491525,0.159088354482799,0.0281677241212135,0.103823015541515,0.214353693424084,2.0413161755926e-08,
"A_2020","highest_grade",1176,583,593,7.47169811320755,7.65935919055649,0.187661077348945,0.0552398440750405,0.0792812375256629,0.296040917172228,0.000703582866370969,
"A_2020","total_repeats",1171,579,592,0.246977547495682,0.182432432432432,-0.0645451150632498,0.0275005142416891,-0.118500996629943,-0.0105892334965565,0.0190888055652194,
"A_2022","years_in_school",275,129,146,2.04651162790698,2.07534246575342,0.0288308378464479,0.0543713968330394,-0.0782096754553211,0.135871351148217,0.596364473397823,1
"A_2022","married_or_cohab",274,128,146,0,0,0,,,,,
"A_2022","has_child",273,127,146,0,0,0,,,,,
"A_2022","working",275,129,146,0.0930232558139535,0.0684931506849315,-0.024530105129022,0.0331534727959999,-0.0897990691896183,0.0407388589315744,0.459999195930581,1
"A_2022","hours_worked",275,129,146,1.76744186046512,1.56164383561644,-0.205798024848676,0.84180607596664,-1.86305459209696,1.45145854239961,0.807048916962055,1
"A_2022","in_school_now",276,130,146,0.946153846153846,0.965753424657534,0.0195995785036881,0.0249605853677576,-0.0295393182131807,0.0687384752205569,0.433002364493344,
"A_2022","in_private_now",275,130,145,0.653846153846154,0.813793103448276,0.159946949602122,0.0529794803887115,0.0556466905397565,0.264247208664487,0.00277565652696261,
"A_2022","highest_grade",277,131,146,6.05343511450382,6,-0.0534351145038165,0.0595382713722432,-0.170643814909296,0.0637735859016632,0.370241561155758,
"A_2022","total_repeats",275,129,146,0.116279069767442,0.10958904109589,-0.00669002867155145,0.040800808892916,-0.0870142392199044,0.0736341818768015,0.869877630359275,
"B_2018","years_in_school",164,74,90,5.16216216216216,5.23333333333333,0.0711711711711711,0.229092325959273,-0.381221061334602,0.523563403676945,0.756453979111531,1
"B_2018","married_or_cohab",164,74,90,0.0540540540540541,0.0222222222222222,-0.0318318318318318,0.0307340291592502,-0.0925228043776452,0.0288591407139815,0.301876604055418,1
"B_2018","has_child",164,74,90,0.0540540540540541,0.0444444444444444,-0.00960960960960961,0.0343165059287288,-0.0773749555848177,0.0581557363655984,0.779812663978189,1
"B_2018","working",164,74,90,0.243243243243243,0.244444444444444,0.00120120120120118,0.0677995014646034,-0.132683544618714,0.135085947021117,0.98588645034231,1
"B_2018","hours_worked",164,74,90,5.81081081081081,5.4,-0.410810810810813,1.9594700019539,-4.28020715571329,3.45858553409166,0.834201120425684,1
"B_2018","in_school_now",162,74,88,0.783783783783784,0.772727272727273,-0.0110565110565111,0.06587929349323,-0.141161630548041,0.119048608435019,0.866929096469353,
"B_2018","in_private_now",162,74,88,0.405405405405405,0.590909090909091,0.185503685503686,0.0779785207835153,0.0315037831617667,0.339503587845604,0.0185429310028133,
"B_2018","highest_grade",165,74,91,8.55405405405405,8.56043956043956,0.00638550638550583,0.174513498819918,-0.338213145075287,0.350984157846299,0.970856427166238,
"B_2018","total_repeats",164,74,90,0.202702702702703,0.133333333333333,-0.0693693693693694,0.0633375683357325,-0.194443065403967,0.0557043266652283,0.275040372688558,
