"cohort","outcome","variance","n","n0","n1","ITT_same_sample","FS_same_sample","FS_se","FS_F","IV_beta","IV_se","IV_lower","IV_upper","IV_p","AR_p_null0","AR_confset","var_rf","var_fs","cov_rf_fs"
"A_2020","years_in_school","HC1",1162,572,590,0.0794239658646485,0.159896882778241,0.028183054224238,32.1887329547864,0.496719914013586,0.310628645376493,-0.112101043490805,1.10554087151798,0.109802928292467,0.145478479520493,"[-0.20820042, 1.09379882]",0.00297690963107084,0.000794284545406342,0.000710580454028574
"A_2020","years_in_school","HC2",1162,572,590,0.0794239658646485,0.159896882778241,0.0281830963825552,32.1886366543815,0.496719914013586,0.310629656580644,-0.112738934214876,1.10617876224205,0.110076402167687,0.145750207109403,"[-0.20910834, 1.09445054]",0.00297692669234717,0.000794286921708395,0.000710582050401237
"A_2020","married_or_cohab","HC1",1161,572,589,-0.0106913460054376,0.161079582556661,0.0281798087757103,32.6741958170442,-0.0663730674970977,0.0401372173135925,-0.145040567871397,0.0122944328772012,0.0981978465357057,0.097203638819879,"[-0.15498486, 0.01277097]",4.15527901723819e-05,0.000794101622635597,-2.44917643026874e-05
"A_2020","married_or_cohab","HC2",1161,572,589,-0.0106913460054376,0.161079582556661,0.0281798484430081,32.674103829598,-0.0663730674970977,0.0401374411811671,-0.145123245400989,0.0123771104067932,0.0984705198788801,0.0974761706375761,"[-0.15509627, 0.01285994]",4.15532759030567e-05,0.000794103858270907,-2.44919849897812e-05
"A_2020","has_child","HC1",1161,572,589,-0.0146419794127778,0.161079582556661,0.0281798087757103,32.6741958170442,-0.0908990399675725,0.0607757545272254,-0.210017329974181,0.0282192500390365,0.134745818435636,0.140418442362085,"[-0.22121936, 0.03248636]",9.86430282061217e-05,0.000794101622635597,-5.1516082703106e-05
"A_2020","has_child","HC2",1161,572,589,-0.0146419794127778,0.161079582556661,0.0281798484430081,32.674103829598,-0.0908990399675725,0.0607759742879709,-0.210142286338388,0.0283442064032427,0.135019459559461,0.140691356460855,"[-0.22137853, 0.03262901]",9.86437023013817e-05,0.000794103858270907,-5.15160798060551e-05
"A_2020","working","HC1",1162,572,590,-0.039658646438309,0.159896882778241,0.028183054224238,32.1887329547864,-0.248026388940371,0.132356632460999,-0.507440621678934,0.0113878437981929,0.060940777247353,0.0713507225971283,"[-0.52898774, 0.02395150]",0.000483692438289663,0.000794284545406342,-0.000170676323402903
"A_2020","working","HC2",1162,572,590,-0.039658646438309,0.159896882778241,0.0281830963825552,32.1886366543815,-0.248026388940371,0.132356837697789,-0.507711979641571,0.0116592017608298,0.0611923960479394,0.0716105997855341,"[-0.52932692, 0.02426941]",0.000483694048257669,0.000794286921708395,-0.000170677063490287
"A_2020","hours_worked","HC1",1162,572,590,-1.43531468531467,0.159896882778241,0.028183054224238,32.1887329547864,-8.97650198287659,3.99718380641409,-16.8108382830349,-1.14216568271826,0.0247228083208607,0.0314404855681621,"[-17.58950959, -0.88475735]",0.445072388806986,0.000794284545406342,-0.00560226702306973
"A_2020","hours_worked","HC2",1162,572,590,-1.43531468531467,0.159896882778241,0.0281830963825552,32.1886366543815,-8.97650198287659,3.99719594239056,-16.8190449712354,-1.13395899451778,0.0249109124132092,0.0316469485132519,"[-17.60007379, -0.87543149]",0.445075025629957,0.000794286921708395,-0.00560228639576944
