"cohort","exposure","outcome","baseline_adjusted","n","k","n_control","n_selected","rf","rf_se","fs","fs_se","fs_F","var_rf","var_fs","cov_rf_fs","ar_p","beta","se","lower","upper","p","AR_set","constant_outcome"
"A_2020","in_private_now","years_in_school",FALSE,1162,2,572,590,0.0794239658646485,0.0545612196742995,0.159896882778241,0.0281830963825552,32.1886366543815,0.00297692669234717,0.000794286921708395,0.000710582050401237,0.145750207109403,0.496719914013586,0.310629656580644,-0.112738934214876,1.10617876224205,0.110076402167687,"[-0.20910834, 1.09445054]",FALSE
"A_2020","in_private_now","years_in_school",TRUE,1162,7,572,590,0.0576628071419679,0.0524477908271282,0.150629440651836,0.0275624708071057,29.8664382237417,0.00275077076264619,0.000759689796992556,0.000617757697443869,0.271808556499443,0.382812329996294,0.324496452870441,-0.253856205806181,1.01948086579877,0.23835774222283,"[-0.36597591, 1.00424686]",FALSE
"A_2020","in_private_now","married_or_cohab",FALSE,1161,2,572,589,-0.0106913460054376,0.00644618304914286,0.161079582556661,0.0281798484430081,32.674103829598,4.15532759030567e-05,0.000794103858270907,-2.44919849897812e-05,0.0974761706375761,-0.0663730674970977,0.0401374411811671,-0.145123245400989,0.0123771104067932,0.0984705198788801,"[-0.15509627, 0.01285994]",FALSE
"A_2020","in_private_now","married_or_cohab",TRUE,1161,7,572,589,-0.00927707247835154,0.00651631404200404,0.151865538450597,0.02755869766557,30.3669439504339,4.2462348694019e-05,0.000759481817022291,-2.0505217048333e-05,0.154812702780001,-0.0610874104355773,0.0430743095497986,-0.145600144790331,0.0234253239191767,0.15640625871231,"[-0.15661060, 0.02453854]",FALSE
"A_2020","in_private_now","has_child",FALSE,1161,2,572,589,-0.0146419794127778,0.00993195359943761,0.161079582556661,0.0281798484430081,32.674103829598,9.86437023013817e-05,0.000794103858270907,-5.15160798060551e-05,0.140691356460855,-0.0908990399675725,0.0607759742879709,-0.210142286338388,0.0283442064032427,0.135019459559461,"[-0.22137853, 0.03262901]",FALSE
"A_2020","in_private_now","has_child",TRUE,1161,7,572,589,-0.0125192636351714,0.00976612051069239,0.151865538450597,0.02755869766557,30.3669439504339,9.53771098293665e-05,0.000759481817022291,-4.25889136628011e-05,0.200132556603478,-0.082436501150286,0.0636773759765384,-0.207372900980243,0.0424998986796714,0.195718472955302,"[-0.22001567, 0.04748924]",FALSE
"A_2020","in_private_now","working",FALSE,1162,2,572,590,-0.039658646438309,0.0219930454520894,0.159896882778241,0.0281830963825552,32.1886366543815,0.000483694048257669,0.000794286921708395,-0.000170677063490287,0.0716105997855341,-0.248026388940371,0.132356837697789,-0.507711979641571,0.0116592017608298,0.0611923960479394,"[-0.52932692, 0.02426941]",FALSE
"A_2020","in_private_now","working",TRUE,1162,7,572,590,-0.0330572353681096,0.0207611706097191,0.150629440651836,0.0275624708071057,29.8664382237417,0.000431026205085862,0.000759689796992556,-0.000129687584293236,0.111599337500875,-0.219460652745288,0.134539098806789,-0.483429057600864,0.0445077521102885,0.103119998797344,"[-0.50958937, 0.05624191]",FALSE
"A_2020","in_private_now","hours_worked",FALSE,1162,2,572,590,-1.43531468531467,0.667139434923433,0.159896882778241,0.0281830963825552,32.1886366543815,0.445075025629957,0.000794286921708395,-0.00560228639576944,0.0316469485132519,-8.97650198287659,3.99719594239056,-16.8190449712354,-1.13395899451778,0.0249109124132092,"[-17.60007379, -0.87543149]",FALSE
"A_2020","in_private_now","hours_worked",TRUE,1162,7,572,590,-1.22869363033778,0.628008301925103,0.150629440651836,0.0275624708071057,29.8664382237417,0.394394427286851,0.000759689796992556,-0.00428811403283907,0.0506478390554904,-8.15706162766527,4.06534514088484,-16.1333501679048,-0.180773087425773,0.0450370881999738,"[-17.08293420, 0.02529969]",FALSE
"A_2020","started_g6_private","years_in_school",FALSE,1161,2,571,590,0.056873163347086,0.052027359385938,0.0598236813203118,0.0168420872074309,12.6169518340872,0.00270684612467355,0.000283655901502706,-3.40781448536272e-05,0.274559693642628,0.950679765803313,0.919825179163342,-0.854029113684986,2.75538864529161,0.3015650138558,"[-0.79457230, 3.63625265]",FALSE
"A_2020","started_g6_private","years_in_school",TRUE,1161,7,571,590,0.0367360165178557,0.0501586741082828,0.0587127040398519,0.0168959110640824,12.0753835812894,0.00251589258830092,0.000285471810685383,-4.70624683503376e-05,0.464075569309805,0.625691102438762,0.882805375765654,-1.10639228993172,2.35777449480925,0.478620814822785,"[-1.13530430, 3.12660828]",FALSE
"A_2020","started_g6_private","married_or_cohab",FALSE,1160,2,571,589,-0.00727285701967471,0.00644444925359114,0.0597200871791356,0.0168515872927087,12.5591207865251,4.15309261821115e-05,0.000283975994283781,1.15144191629314e-06,0.259323175019383,-0.121782424695047,0.113597060097044,-0.34466152471898,0.101096675328886,0.283918189462545,"[-0.45075713, 0.09595659]",FALSE
"A_2020","started_g6_private","married_or_cohab",TRUE,1160,7,571,589,-0.00586068074060152,0.00657005198979836,0.0586684936446656,0.0169140431396911,12.0313679049797,4.31655831486534e-05,0.000286084855331333,2.07340753256257e-06,0.37256319608007,-0.0998948562766516,0.116149198645,-0.327782323576726,0.127992611023423,0.389936769362494,"[-0.43121107, 0.13060077]",FALSE
"A_2020","started_g6_private","has_child",FALSE,1160,2,571,589,-0.00950585604738362,0.009792723134451,0.0597200871791356,0.0168515872927087,12.5591207865251,9.58974263880118e-05,0.000283975994283781,-2.39472292835927e-06,0.331897360702808,-0.159173512571574,0.169387338350949,-0.491513957780782,0.173166932637634,0.347566732612015,"[-0.63040441, 0.17880782]",FALSE
"A_2020","started_g6_private","has_child",TRUE,1160,7,571,589,-0.00766329968245394,0.00970715046897395,0.0586684936446656,0.0169140431396911,12.0313679049797,9.42287702273011e-05,0.000286084855331333,-9.50288821998128e-07,0.430011968939319,-0.130620358669303,0.169476266572101,-0.463136791043766,0.20189607370516,0.441025180057136,"[-0.59816117, 0.21713288]",FALSE
"A_2020","started_g6_private","working",FALSE,1161,2,571,590,-0.0434355427587645,0.0220092307825283,0.0598236813203118,0.0168420872074309,12.6169518340872,0.000484406239638592,0.000283655901502706,-1.60455581041101e-05,0.0486741788454802,-0.726059343058464,0.413065648700769,-1.53649947984612,0.084380793729194,0.0790568209504643,"[-2.03569054, -0.00433116]",FALSE
"A_2020","started_g6_private","working",TRUE,1161,7,571,590,-0.0378790478015576,0.0208120635527233,0.0587127040398519,0.0168959110640824,12.0753835812894,0.000433141989322594,0.000285471810685383,-1.03328375303385e-05,0.0690099676372555,-0.645159312980149,0.395288118152205,-1.42072321805832,0.130404592098027,0.102926141866493,"[-1.91208041, 0.05179698]",FALSE
"A_2020","started_g6_private","hours_worked",FALSE,1161,2,571,590,-1.51875983258624,0.663397973047024,0.0598236813203118,0.0168420872074309,12.6169518340872,0.4400968706429,0.000283655901502706,-0.000605173313014502,0.0222373179559964,-25.3872680361211,12.8634427194195,-50.6255087609959,-0.14902731124625,0.0486646690521193,"[-67.54849070, -3.64595583]",FALSE
