"section","key","field","actual","expected","pass"
"ITT","A_2020/years_in_school","n","1171","1171",TRUE
"ITT","A_2020/years_in_school","n_control","579","579",TRUE
"ITT","A_2020/years_in_school","n_selected","592","592",TRUE
"ITT","A_2020/years_in_school","control_mean","3.60794473229706","3.60794473229706",TRUE
"ITT","A_2020/years_in_school","selected_mean","3.70101351351351","3.70101351351351",TRUE
"ITT","A_2020/years_in_school","estimate","0.093068781216453","0.0930687812164499",TRUE
"ITT","A_2020/years_in_school","se","0.054717908830444","0.0547179088304439",TRUE
"ITT","A_2020/years_in_school","ci_low","-0.0142875024692163","-0.014287502469219",TRUE
"ITT","A_2020/years_in_school","ci_high","0.200425064902122","0.200425064902119",TRUE
"ITT","A_2020/years_in_school","p_value","0.0892308418657351","0.0892308418657447",TRUE
"ITT","A_2020/years_in_school","Holm five","0.267692525597205","0.267692525597234",TRUE
"ITT","A_2020/married_or_cohab","n","1169","1169",TRUE
"ITT","A_2020/married_or_cohab","n_control","578","578",TRUE
"ITT","A_2020/married_or_cohab","n_selected","591","591",TRUE
"ITT","A_2020/married_or_cohab","control_mean","0.0173010380622837","0.0173010380622837",TRUE
"ITT","A_2020/married_or_cohab","selected_mean","0.00846023688663283","0.00846023688663283",TRUE
"ITT","A_2020/married_or_cohab","estimate","-0.00884080117565068","-0.00884080117565091",TRUE
"ITT","A_2020/married_or_cohab","se","0.00660937028665378","0.00660937028665375",TRUE
"ITT","A_2020/married_or_cohab","ci_low","-0.0218083780982999","-0.0218083780983001",TRUE
"ITT","A_2020/married_or_cohab","ci_high","0.00412677574699851","0.00412677574699823",TRUE
"ITT","A_2020/married_or_cohab","p_value","0.181282178387602","0.181282178387588",TRUE
"ITT","A_2020/married_or_cohab","Holm five","0.362564356775203","0.362564356775177",TRUE
"ITT","A_2020/has_child","n","1169","1169",TRUE
"ITT","A_2020/has_child","n_control","578","578",TRUE
"ITT","A_2020/has_child","n_selected","591","591",TRUE
"ITT","A_2020/has_child","control_mean","0.0363321799307958","0.0363321799307958",TRUE
"ITT","A_2020/has_child","selected_mean","0.0236886632825719","0.0236886632825719",TRUE
"ITT","A_2020/has_child","estimate","-0.0126435166482238","-0.0126435166482239",TRUE
"ITT","A_2020/has_child","se","0.00999393871173971","0.0099939387117397",TRUE
"ITT","A_2020/has_child","ci_low","-0.032251612939397","-0.0322516129393971",TRUE
"ITT","A_2020/has_child","ci_high","0.00696457964294939","0.00696457964294924",TRUE
