applicant_id,municipality,application_year,selected,male,age_at_application,has_phone,ses_stratum,neighborhood,age_at_survey,survey_month,survey_form,household_visit,mother_educ,father_educ,mother_age,father_age,father_income_high,receiving_aid_now,started_g6_private,started_g7_private,in_private_now,in_school_now,highest_grade,finished_g6,finished_g7,finished_g8,repeats_g6,ever_repeated,total_repeats,years_in_school,married_or_cohab,has_child,working,hours_worked,cohort,private_history_g6_g7_current,g6_to_current_exit,g6_to_g7_nonprivate_start,earlier_private_to_current_exit,g6_private_g7_nonprivate_current_private,current_exit_schooling_status,age_change
100062,A,2020,1,1,12,1,2,19,15,4,0,0,7.0,5.0,39.0,44.0,,0,1,0,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0,A2020,1->0->1,0,1,0,1,not_an_observed_current_exit,3.0
100168,A,2022,0,0,11,1,3,,12,7,1,0,5.0,5.0,36.0,36.0,0,0,1,0,1,1,5,0,0,0,1,1,1,2,0,0,0,0.0,A2022,1->0->1,0,1,0,1,not_an_observed_current_exit,1.0
100220,A,2020,0,0,13,1,,,15,3,0,0,11.0,,35.0,,,0,1,0,1,1,7,1,1,0,0,0,0,2,0,0,0,0.0,A2020,1->0->1,0,1,0,1,not_an_observed_current_exit,2.0
100286,A,2022,1,0,12,1,2,,13,7,1,0,2.0,3.0,32.0,43.0,0,0,1,0,1,1,5,0,0,0,0,0,0,1,0,0,1,0.0,A2022,1->0->1,0,1,0,1,not_an_observed_current_exit,1.0
100356,A,2022,0,0,11,1,3,,12,7,1,0,4.0,11.0,37.0,41.0,0,1,1,0,1,1,5,0,0,0,1,1,1,2,0,0,0,0.0,A2022,1->0->1,0,1,0,1,not_an_observed_current_exit,1.0
100371,A,2020,1,0,12,1,2,,14,8,1,0,7.0,5.0,35.0,39.0,0,0,1,0,1,1,5,0,0,0,2,1,2,3,0,0,0,0.0,A2020,1->0->1,0,1,0,1,not_an_observed_current_exit,2.0
100393,A,2022,0,1,13,1,2,,14,7,1,0,3.0,2.0,38.0,48.0,0,0,1,0,1,1,5,0,0,0,1,1,1,2,0,0,0,0.0,A2022,1->0->1,0,1,0,1,not_an_observed_current_exit,1.0
100500,A,2022,1,0,14,1,2,,16,7,1,0,5.0,5.0,56.0,56.0,0,0,1,0,1,1,9,1,1,1,0,0,0,5,0,0,0,0.0,A2022,1->0->1,0,1,0,1,not_an_observed_current_exit,2.0
100538,A,2022,0,0,12,1,2,,13,7,1,0,11.0,,39.0,,,0,1,0,1,1,4,0,0,0,0,0,0,2,0,0,0,0.0,A2022,1->0->1,0,1,0,1,not_an_observed_current_exit,1.0
100539,A,2020,0,1,12,1,3,15,14,3,0,0,10.0,,45.0,44.0,,0,1,0,1,1,7,1,1,0,1,1,1,3,0,0,0,0.0,A2020,1->0->1,0,1,0,1,not_an_observed_current_exit,2.0
100746,A,2020,1,0,11,1,2,15,14,3,0,0,8.0,11.0,42.0,40.0,1,1,1,0,1,1,8,1,1,1,0,0,0,2,0,0,0,0.0,A2020,1->0->1,0,1,0,1,not_an_observed_current_exit,3.0
100762,A,2020,1,0,,1,2,15,14,4,0,0,5.0,5.0,49.0,58.0,,0,1,0,1,1,7,1,1,0,0,0,0,3,0,0,0,0.0,A2020,1->0->1,0,1,0,1,not_an_observed_current_exit,
100790,A,2020,0,1,12,1,2,19,14,8,1,0,5.0,9.0,39.0,39.0,0,0,1,0,1,1,6,1,0,0,0,1,1,3,0,0,0,0.0,A2020,1->0->1,0,1,0,1,not_an_observed_current_exit,2.0
100841,B,2018,0,1,11,1,2,,16,6,1,0,0.0,5.0,32.0,34.0,,0,1,0,1,1,7,1,1,0,0,1,1,5,0,0,0,0.0,B2018,1->0->1,0,1,0,1,not_an_observed_current_exit,5.0
100972,A,2020,1,0,13,1,2,8,15,3,0,0,4.0,1.0,40.0,66.0,1,0,1,0,1,1,6,1,0,0,1,1,1,4,0,0,0,0.0,A2020,1->0->1,0,1,0,1,not_an_observed_current_exit,2.0
100980,A,2022,0,1,15,1,2,,15,7,1,0,8.0,,38.0,,,0,1,0,1,1,5,0,0,0,1,1,1,2,0,0,1,12.0,A2022,1->0->1,0,1,0,1,not_an_observed_current_exit,0.0
100998,B,2018,0,0,14,0,2,,18,7,1,1,5.0,5.0,43.0,47.0,0,0,1,0,1,1,10,1,1,1,1,1,1,6,0,0,0,0.0,B2018,1->0->1,0,1,0,1,not_an_observed_current_exit,4.0
101069,A,2020,0,1,11,1,3,10,14,4,0,0,11.0,8.0,36.0,36.0,0,0,1,0,1,1,7,1,1,0,1,1,1,4,0,0,0,0.0,A2020,1->0->1,0,1,0,1,not_an_observed_current_exit,3.0
101174,A,2020,1,0,13,1,2,,15,6,0,0,3.0,9.0,43.0,37.0,0,0,1,0,1,1,7,1,1,0,1,1,1,4,0,0,0,0.0,A2020,1->0->1,0,1,0,1,not_an_observed_current_exit,2.0
101220,A,2020,1,1,13,1,1,19,16,3,0,0,4.0,,37.0,,,0,1,0,1,1,6,1,0,0,1,1,1,3,0,0,1,40.0,A2020,1->0->1,0,1,0,1,not_an_observed_current_exit,3.0
101476,A,2022,1,1,14,1,,,15,7,1,0,5.0,7.0,39.0,42.0,0,1,1,0,1,1,5,0,0,0,1,1,1,2,0,0,0,0.0,A2022,1->0->1,0,1,0,1,not_an_observed_current_exit,1.0
101489,A,2022,0,0,11,1,,,11,7,1,0,8.0,8.0,37.0,34.0,0,0,1,0,1,1,5,0,0,0,0,0,0,1,0,0,0,0.0,A2022,1->0->1,0,1,0,1,not_an_observed_current_exit,0.0
101575,A,2022,0,1,11,1,2,,12,12,1,0,7.0,7.0,30.0,36.0,0,0,1,0,1,1,5,0,0,0,1,1,1,2,0,0,0,0.0,A2022,1->0->1,0,1,0,1,not_an_observed_current_exit,1.0
