cohort,selected,history_g6_g7_current,n,denominator_all_applicants
A2020,0,0->0->0,50,583
A2020,0,0->0->1,9,583
A2020,0,0->1->0,2,583
A2020,0,0->1->1,8,583
A2020,0,1->0->0,121,583
A2020,0,1->0->1,4,583
A2020,0,1->1->0,87,583
A2020,0,1->1->1,286,583
A2020,0,1->1->unknown,5,583
A2020,0,unknown->unknown->0,5,583
A2020,0,unknown->unknown->1,1,583
A2020,0,unknown->unknown->unknown,5,583
A2020,1,0->0->0,27,593
A2020,1,0->0->1,4,593
A2020,1,0->1->0,1,593
A2020,1,0->1->1,4,593
A2020,1,1->0->0,53,593
A2020,1,1->0->1,7,593
A2020,1,1->1->0,97,593
A2020,1,1->1->1,395,593
A2020,1,1->1->unknown,2,593
A2020,1,unknown->unknown->0,1,593
A2020,1,unknown->unknown->1,1,593
A2020,1,unknown->unknown->unknown,1,593
A2022,0,0->0->0,12,131
A2022,0,0->1->1,2,131
A2022,0,1->0->0,27,131
A2022,0,1->0->1,7,131
A2022,0,1->1->0,5,131
A2022,0,1->1->1,76,131
A2022,0,unknown->unknown->0,1,131
A2022,0,unknown->unknown->unknown,1,131
A2022,1,0->0->0,15,146
A2022,1,0->1->0,1,146
A2022,1,0->1->1,3,146
A2022,1,1->0->0,10,146
A2022,1,1->0->1,3,146
A2022,1,1->1->0,1,146
A2022,1,1->1->1,112,146
A2022,1,1->1->unknown,1,146
B2018,0,0->0->0,31,74
B2018,0,0->0->1,1,74
B2018,0,0->1->1,3,74
B2018,0,1->0->0,2,74
B2018,0,1->0->1,2,74
B2018,0,1->1->0,11,74
B2018,0,1->1->1,23,74
B2018,0,unknown->unknown->1,1,74
B2018,1,0->0->0,15,91
B2018,1,0->0->1,2,91
B2018,1,0->0->unknown,1,91
B2018,1,0->1->0,1,91
B2018,1,1->0->0,7,91
B2018,1,1->1->0,13,91
B2018,1,1->1->1,50,91
B2018,1,1->1->unknown,1,91
B2018,1,unknown->unknown->unknown,1,91
