cohort,selected,variable,mean_observed,observed_n,min,max
A2020,0,started_g6_private,0.8793706293706294,572,0.0,1.0
A2020,0,started_g7_private,0.6783216783216783,572,0.0,1.0
A2020,0,in_private_now,0.537521815008726,573,0.0,1.0
A2020,0,in_school_now,0.8252595155709342,578,0.0,1.0
A2020,0,receiving_aid_now,0.055267702936096716,579,0.0,1.0
A2020,0,years_in_school,3.6079447322970637,579,0.0,6.0
A2020,1,started_g6_private,0.9389830508474576,590,0.0,1.0
A2020,1,started_g7_private,0.8457627118644068,590,0.0,1.0
A2020,1,in_private_now,0.6966101694915254,590,0.0,1.0
A2020,1,in_school_now,0.8460236886632826,591,0.0,1.0
A2020,1,receiving_aid_now,0.5625,592,0.0,1.0
A2020,1,years_in_school,3.7010135135135136,592,0.0,6.0
A2022,0,started_g6_private,0.8914728682170543,129,0.0,1.0
A2022,0,started_g7_private,0.6434108527131783,129,0.0,1.0
A2022,0,in_private_now,0.6538461538461539,130,0.0,1.0
A2022,0,in_school_now,0.9461538461538461,130,0.0,1.0
A2022,0,receiving_aid_now,0.046511627906976744,129,0.0,1.0
A2022,0,years_in_school,2.046511627906977,129,1.0,4.0
A2022,1,started_g6_private,0.8698630136986302,146,0.0,1.0
A2022,1,started_g7_private,0.8082191780821918,146,0.0,1.0
A2022,1,in_private_now,0.8137931034482758,145,0.0,1.0
A2022,1,in_school_now,0.9657534246575342,146,0.0,1.0
A2022,1,receiving_aid_now,0.7054794520547946,146,0.0,1.0
A2022,1,years_in_school,2.0753424657534247,146,1.0,5.0
B2018,0,started_g6_private,0.5205479452054794,73,0.0,1.0
B2018,0,started_g7_private,0.5068493150684932,73,0.0,1.0
B2018,0,in_private_now,0.40540540540540543,74,0.0,1.0
B2018,0,in_school_now,0.7837837837837838,74,0.0,1.0
B2018,0,receiving_aid_now,0.02702702702702703,74,0.0,1.0
B2018,0,years_in_school,5.162162162162162,74,1.0,6.0
B2018,1,started_g6_private,0.7888888888888889,90,0.0,1.0
B2018,1,started_g7_private,0.7222222222222222,90,0.0,1.0
B2018,1,in_private_now,0.5909090909090909,88,0.0,1.0
B2018,1,in_school_now,0.7727272727272727,88,0.0,1.0
B2018,1,receiving_aid_now,0.4444444444444444,90,0.0,1.0
B2018,1,years_in_school,5.233333333333333,90,1.0,6.0
