applicant_id,cohort,selected,years_in_school,highest_grade,total_repeats,years_minus_highest_grade_plus5,age_at_application,age_at_survey,age_change,exceeds_4_years,exceeds_age_change_plus1
100004,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100007,A2020,0,4,7,0,2.0,11,14,3.0,0,0
100008,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100010,A2020,0,4,7,1,2.0,15,17,2.0,0,1
100012,A2020,0,3,5,1,3.0,11,14,3.0,0,0
100019,A2020,0,4,8,0,1.0,10,13,3.0,0,0
100021,A2020,0,4,8,0,1.0,,14,,0,
100023,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100027,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100028,A2020,0,3,7,0,1.0,14,16,2.0,0,0
100030,A2020,0,4,7,1,2.0,12,15,3.0,0,0
100035,A2020,0,3,7,0,1.0,,15,,0,
100040,A2020,0,4,8,0,1.0,15,17,2.0,0,1
100041,A2020,0,2,6,0,1.0,15,17,2.0,0,0
100048,A2020,0,2,5,1,2.0,13,15,2.0,0,0
100049,A2020,0,4,8,0,1.0,10,13,3.0,0,0
100059,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100064,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100065,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100072,A2020,0,2,6,0,1.0,,15,,0,
100073,A2020,0,1,5,0,1.0,14,17,3.0,0,0
100077,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100085,A2020,0,4,5,2,4.0,14,16,2.0,0,1
100093,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100094,A2020,0,4,8,0,1.0,15,17,2.0,0,1
100096,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100101,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100103,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100108,A2020,0,4,8,0,1.0,13,16,3.0,0,0
100109,A2020,0,4,7,0,2.0,13,15,2.0,0,1
100110,A2020,0,4,8,0,1.0,13,16,3.0,0,0
100111,A2020,0,4,8,0,1.0,12,17,5.0,0,0
100112,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100113,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100117,A2020,0,2,6,0,1.0,13,15,2.0,0,0
100120,A2020,0,1,5,0,1.0,14,17,3.0,0,0
100131,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100134,A2020,0,4,9,0,0.0,11,14,3.0,0,0
100138,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100140,A2020,0,1,5,0,1.0,16,19,3.0,0,0
100141,A2020,0,4,8,1,1.0,13,17,4.0,0,0
100144,A2020,0,1,6,0,0.0,13,15,2.0,0,0
100147,A2020,0,3,8,0,0.0,13,15,2.0,0,0
100148,A2020,0,2,7,0,0.0,13,15,2.0,0,0
100153,A2020,0,1,6,0,0.0,14,17,3.0,0,0
100158,A2020,0,4,8,0,1.0,14,16,2.0,0,1
100160,A2020,0,3,5,2,3.0,16,18,2.0,0,0
100163,A2020,0,3,7,3,1.0,12,15,3.0,0,0
100165,A2020,0,4,8,0,1.0,14,17,3.0,0,0
100166,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100170,A2020,0,5,8,1,2.0,12,14,2.0,1,1
100172,A2020,0,0,5,0,0.0,16,19,3.0,0,0
100173,A2020,0,4,7,1,2.0,,15,,0,
100175,A2020,0,1,5,0,1.0,13,16,3.0,0,0
100176,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100178,A2020,0,3,6,1,2.0,14,16,2.0,0,0
100179,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100180,A2020,0,4,6,1,3.0,12,14,2.0,0,1
100183,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100184,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100201,A2020,0,5,9,0,1.0,12,14,2.0,1,1
100205,A2020,0,4,8,0,1.0,,14,,0,
100206,A2020,0,1,8,0,-2.0,12,14,2.0,0,0
100207,A2020,0,4,8,0,1.0,13,16,3.0,0,0
100208,A2020,0,4,8,0,1.0,,14,,0,
100210,A2020,0,4,7,1,2.0,15,18,3.0,0,0
100211,A2020,0,4,8,0,1.0,14,16,2.0,0,1
